GLM,contrast,timelock,region,peak
GLM_0S7.2,contr2,offer-timelocked,MS,0.0180914866040299
GLM_0S7.2,contr2,offer-timelocked,DRN,0.0794509579232859
GLM_0S7.2,contr2,offer-timelocked,MS,-0.00927333960933197
GLM_0S7.2,contr2,offer-timelocked,DRN,-0.0360897406575552
GLM_0S7.2,contr2,offer-timelocked,MS,-0.107663505125122
GLM_0S7.2,contr2,offer-timelocked,DRN,0.0728361069380053
GLM_0S7.2,contr2,offer-timelocked,MS,0.00446346671145207
GLM_0S7.2,contr2,offer-timelocked,DRN,0.0240302234328841
GLM_0S7.2,contr2,offer-timelocked,MS,0.103850850438027
GLM_0S7.2,contr2,offer-timelocked,DRN,0.203777209905977
GLM_0S7.2,contr2,offer-timelocked,MS,0.0598376588825716
GLM_0S7.2,contr2,offer-timelocked,DRN,-0.0029970066477503
GLM_0S7.2,contr2,offer-timelocked,MS,0.0515269540196129
GLM_0S7.2,contr2,offer-timelocked,DRN,0.0239864321585918
GLM_0S7.2,contr2,offer-timelocked,MS,-0.0463799642951414
GLM_0S7.2,contr2,offer-timelocked,DRN,0.254458470104434
GLM_0S7.2,contr2,offer-timelocked,MS,0.0526368621771734
