m,se,region,glm,contrast,timepoint,facet_label
-0.00233886581753051,0.0169785113104125,DRN,GLM_04.1,contr_1,-2,(i) Policy switch [DRN]
-0.0013706512018235,0.0170237735100902,DRN,GLM_04.1,contr_1,-1.9107142857142858,(i) Policy switch [DRN]
-3.69169561888778e-4,0.0170482956403493,DRN,GLM_04.1,contr_1,-1.8214285714285714,(i) Policy switch [DRN]
6.5485991659994e-4,0.0170465634283594,DRN,GLM_04.1,contr_1,-1.7321428571428572,(i) Policy switch [DRN]
0.00169383448619779,0.0170142307243012,DRN,GLM_04.1,contr_1,-1.6428571428571428,(i) Policy switch [DRN]
0.00274303714494274,0.0169482650746847,DRN,GLM_04.1,contr_1,-1.5535714285714286,(i) Policy switch [DRN]
0.00378933347036292,0.0168488851552108,DRN,GLM_04.1,contr_1,-1.4642857142857144,(i) Policy switch [DRN]
0.00481221936312906,0.0167182027743594,DRN,GLM_04.1,contr_1,-1.375,(i) Policy switch [DRN]
0.00579927125782345,0.0165601170553812,DRN,GLM_04.1,contr_1,-1.2857142857142858,(i) Policy switch [DRN]
0.0067434506199502,0.0163807939427606,DRN,GLM_04.1,contr_1,-1.1964285714285714,(i) Policy switch [DRN]
0.00763995449947449,0.0161892023230843,DRN,GLM_04.1,contr_1,-1.1071428571428572,(i) Policy switch [DRN]
0.0084781037152347,0.0159945428832276,DRN,GLM_04.1,contr_1,-1.0178571428571428,(i) Policy switch [DRN]
0.00924312704220819,0.0158050252187489,DRN,GLM_04.1,contr_1,-0.9285714285714286,(i) Policy switch [DRN]
0.0099227488704726,0.0156282476412887,DRN,GLM_04.1,contr_1,-0.8392857142857142,(i) Policy switch [DRN]
0.0105111665615324,0.0154711174675606,DRN,GLM_04.1,contr_1,-0.75,(i) Policy switch [DRN]
0.0110138991741035,0.0153407083804525,DRN,GLM_04.1,contr_1,-0.6607142857142858,(i) Policy switch [DRN]
0.0114386784845964,0.0152441502904078,DRN,GLM_04.1,contr_1,-0.5714285714285716,(i) Policy switch [DRN]
0.0117956992327574,0.0151876022288896,DRN,GLM_04.1,contr_1,-0.4821428571428572,(i) Policy switch [DRN]
0.012097395778796,0.0151747705713301,DRN,GLM_04.1,contr_1,-0.3928571428571428,(i) Policy switch [DRN]
0.0123592364843387,0.0152072478740479,DRN,GLM_04.1,contr_1,-0.3035714285714284,(i) Policy switch [DRN]
0.0126050712451807,0.015285829102289,DRN,GLM_04.1,contr_1,-0.2142857142857142,(i) Policy switch [DRN]
0.0128530557950098,0.0154089108013629,DRN,GLM_04.1,contr_1,-0.125,(i) Policy switch [DRN]
0.0131218617620443,0.0155706262857901,DRN,GLM_04.1,contr_1,-0.03571428571428581,(i) Policy switch [DRN]
0.013419323549335,0.0157620396019301,DRN,GLM_04.1,contr_1,0.05357142857142838,(i) Policy switch [DRN]
0.0137517295371709,0.0159717563488631,DRN,GLM_04.1,contr_1,0.1428571428571428,(i) Policy switch [DRN]
0.0141221919044456,0.0161873904864227,DRN,GLM_04.1,contr_1,0.2321428571428572,(i) Policy switch [DRN]
0.0145413114821423,0.0163971069261321,DRN,GLM_04.1,contr_1,0.3214285714285716,(i) Policy switch [DRN]
0.0150232641897774,0.0165897579470609,DRN,GLM_04.1,contr_1,0.4107142857142856,(i) Policy switch [DRN]
0.0155757120736247,0.0167539290158128,DRN,GLM_04.1,contr_1,0.5,(i) Policy switch [DRN]
0.0162032912195723,0.0168783915335083,DRN,GLM_04.1,contr_1,0.5892857142857144,(i) Policy switch [DRN]
0.0169139826177539,0.0169523341617203,DRN,GLM_04.1,contr_1,0.6785714285714284,(i) Policy switch [DRN]
0.0177215191467702,0.0169660625802641,DRN,GLM_04.1,contr_1,0.7678571428571432,(i) Policy switch [DRN]
0.0186378286730945,0.0169129703130884,DRN,GLM_04.1,contr_1,0.8571428571428568,(i) Policy switch [DRN]
0.019670100935852,0.0167884161252455,DRN,GLM_04.1,contr_1,0.9464285714285716,(i) Policy switch [DRN]
0.0208173021961427,0.0165894519105349,DRN,GLM_04.1,contr_1,1.0357142857142856,(i) Policy switch [DRN]
0.022067692175912,0.0163162361173677,DRN,GLM_04.1,contr_1,1.125,(i) Policy switch [DRN]
0.0234109015330558,0.0159716207961375,DRN,GLM_04.1,contr_1,1.2142857142857144,(i) Policy switch [DRN]
0.0248350418044686,0.0155613669128278,DRN,GLM_04.1,contr_1,1.3035714285714284,(i) Policy switch [DRN]
0.026328069729685,0.0150938830863603,DRN,GLM_04.1,contr_1,1.3928571428571432,(i) Policy switch [DRN]
0.0278726953676467,0.0145813578739482,DRN,GLM_04.1,contr_1,1.4821428571428568,(i) Policy switch [DRN]
0.0294415578983108,0.0140414075356982,DRN,GLM_04.1,contr_1,1.5714285714285716,(i) Policy switch [DRN]
0.0310053417684897,0.0134963027320421,DRN,GLM_04.1,contr_1,1.6607142857142856,(i) Policy switch [DRN]
0.0325323677350636,0.0129718216711362,DRN,GLM_04.1,contr_1,1.75,(i) Policy switch [DRN]
0.0339998754432827,0.0124947420783134,DRN,GLM_04.1,contr_1,1.8392857142857144,(i) Policy switch [DRN]
0.0353861627834446,0.0120912174491423,DRN,GLM_04.1,contr_1,1.9285714285714284,(i) Policy switch [DRN]
0.0366761750642461,0.0117847536184828,DRN,GLM_04.1,contr_1,2.0178571428571432,(i) Policy switch [DRN]
0.0378506347429109,0.0115931080373853,DRN,GLM_04.1,contr_1,2.1071428571428568,(i) Policy switch [DRN]
0.0388901571861473,0.0115257353102026,DRN,GLM_04.1,contr_1,2.196428571428571,(i) Policy switch [DRN]
0.0397779014670368,0.0115828868145452,DRN,GLM_04.1,contr_1,2.2857142857142856,(i) Policy switch [DRN]
0.0405022359170466,0.011755608629650501,DRN,GLM_04.1,contr_1,2.375,(i) Policy switch [DRN]
0.0410452926799371,0.0120275374687823,DRN,GLM_04.1,contr_1,2.4642857142857144,(i) Policy switch [DRN]
0.0413853290678544,0.0123764487218384,DRN,GLM_04.1,contr_1,2.553571428571429,(i) Policy switch [DRN]
0.0415055588812564,0.0127782006224321,DRN,GLM_04.1,contr_1,2.6428571428571432,(i) Policy switch [DRN]
0.0413947197024224,0.0132090743331187,DRN,GLM_04.1,contr_1,2.7321428571428568,(i) Policy switch [DRN]
0.0410507224546031,0.013646783647126,DRN,GLM_04.1,contr_1,2.821428571428571,(i) Policy switch [DRN]
0.0404800351218295,0.0140709485044435,DRN,GLM_04.1,contr_1,2.9107142857142856,(i) Policy switch [DRN]
0.0396879871167411,0.0144651648720985,DRN,GLM_04.1,contr_1,3,(i) Policy switch [DRN]
0.0386831499755433,0.0148158646975168,DRN,GLM_04.1,contr_1,3.0892857142857135,(i) Policy switch [DRN]
0.0374756195383206,0.0151123277035451,DRN,GLM_04.1,contr_1,3.178571428571429,(i) Policy switch [DRN]
0.0360823556656006,0.0153465463912954,DRN,GLM_04.1,contr_1,3.2678571428571432,(i) Policy switch [DRN]
0.0345298744261991,0.0155148243180613,DRN,GLM_04.1,contr_1,3.3571428571428568,(i) Policy switch [DRN]
0.0328539750836034,0.0156160977310274,DRN,GLM_04.1,contr_1,3.446428571428571,(i) Policy switch [DRN]
0.0310956982001243,0.0156523778121268,DRN,GLM_04.1,contr_1,3.5357142857142865,(i) Policy switch [DRN]
0.0292914100398404,0.0156281546514606,DRN,GLM_04.1,contr_1,3.625,(i) Policy switch [DRN]
0.0274759566351487,0.0155501177771893,DRN,GLM_04.1,contr_1,3.7142857142857135,(i) Policy switch [DRN]
0.0256749939509711,0.0154274345169583,DRN,GLM_04.1,contr_1,3.803571428571429,(i) Policy switch [DRN]
0.0239153678217816,0.0152712476949179,DRN,GLM_04.1,contr_1,3.8928571428571432,(i) Policy switch [DRN]
0.0222233442314817,0.0150954608101755,DRN,GLM_04.1,contr_1,3.9821428571428568,(i) Policy switch [DRN]
0.0206267452955039,0.014915084690013,DRN,GLM_04.1,contr_1,4.071428571428571,(i) Policy switch [DRN]
0.019144439665569,0.0147441715553308,DRN,GLM_04.1,contr_1,4.1607142857142865,(i) Policy switch [DRN]
0.0178002066284814,0.0145936395036306,DRN,GLM_04.1,contr_1,4.25,(i) Policy switch [DRN]
0.0166208748986544,0.0144710216291234,DRN,GLM_04.1,contr_1,4.3392857142857135,(i) Policy switch [DRN]
0.015630766290896,0.0143807847281852,DRN,GLM_04.1,contr_1,4.428571428571429,(i) Policy switch [DRN]
0.0148492901909817,0.0143256257403146,DRN,GLM_04.1,contr_1,4.517857142857143,(i) Policy switch [DRN]
0.0142869879959573,0.0143057649465612,DRN,GLM_04.1,contr_1,4.607142857142857,(i) Policy switch [DRN]
0.0139478733867263,0.0143195789631905,DRN,GLM_04.1,contr_1,4.696428571428571,(i) Policy switch [DRN]
0.0138341894715699,0.0143636360632049,DRN,GLM_04.1,contr_1,4.7857142857142865,(i) Policy switch [DRN]
0.0139429748239308,0.0144336679032331,DRN,GLM_04.1,contr_1,4.875,(i) Policy switch [DRN]
0.0142684606204924,0.014523514334543,DRN,GLM_04.1,contr_1,4.9642857142857135,(i) Policy switch [DRN]
0.0147968566760878,0.0146257114330284,DRN,GLM_04.1,contr_1,5.053571428571429,(i) Policy switch [DRN]
0.015507044813723,0.0147329679642615,DRN,GLM_04.1,contr_1,5.142857142857143,(i) Policy switch [DRN]
0.0163662380657187,0.014838171604716,DRN,GLM_04.1,contr_1,5.232142857142857,(i) Policy switch [DRN]
0.0173338920382417,0.0149339634577634,DRN,GLM_04.1,contr_1,5.321428571428571,(i) Policy switch [DRN]
0.018370923316596,0.0150141324708086,DRN,GLM_04.1,contr_1,5.4107142857142865,(i) Policy switch [DRN]
0.0194416054016322,0.0150726379761793,DRN,GLM_04.1,contr_1,5.5,(i) Policy switch [DRN]
0.02051844110597,0.0151035172220484,DRN,GLM_04.1,contr_1,5.5892857142857135,(i) Policy switch [DRN]
0.0215737423457306,0.0151027618652501,DRN,GLM_04.1,contr_1,5.678571428571429,(i) Policy switch [DRN]
0.0225806905071939,0.015067548928575,DRN,GLM_04.1,contr_1,5.767857142857143,(i) Policy switch [DRN]
0.0235110632667939,0.0149980718733572,DRN,GLM_04.1,contr_1,5.857142857142857,(i) Policy switch [DRN]
0.0243461778230893,0.0148961457514484,DRN,GLM_04.1,contr_1,5.946428571428571,(i) Policy switch [DRN]
0.0250628787948029,0.0147655077825722,DRN,GLM_04.1,contr_1,6.0357142857142865,(i) Policy switch [DRN]
0.0256317926729748,0.0146105105499839,DRN,GLM_04.1,contr_1,6.125,(i) Policy switch [DRN]
0.0260221237046673,0.0144352043348645,DRN,GLM_04.1,contr_1,6.2142857142857135,(i) Policy switch [DRN]
0.0262072497518178,0.0142430885979267,DRN,GLM_04.1,contr_1,6.303571428571429,(i) Policy switch [DRN]
0.0261678149517213,0.0140379387696159,DRN,GLM_04.1,contr_1,6.392857142857142,(i) Policy switch [DRN]
0.0258915557216749,0.0138226665598146,DRN,GLM_04.1,contr_1,6.482142857142858,(i) Policy switch [DRN]
0.0253726419544501,0.0136005509731477,DRN,GLM_04.1,contr_1,6.571428571428571,(i) Policy switch [DRN]
0.0246122428421573,0.0133775496731043,DRN,GLM_04.1,contr_1,6.6607142857142865,(i) Policy switch [DRN]
