subject,prev_policy,m,prev_choice,m_percent,facet_label,prev_action
123,NA,0.6179775280898876,Purs.,61.79775280898876,(i) Action,1
124,NA,0.5,Rej.,50,(i) Action,0
124,NA,0.6195652173913043,Purs.,61.95652173913043,(i) Action,1
125,NA,0.5384615384615384,Rej.,53.84615384615385,(i) Action,0
125,NA,0.532608695652174,Purs.,53.2608695652174,(i) Action,1
126,NA,0.5591397849462365,Rej.,55.91397849462365,(i) Action,0
126,NA,0.4146341463414634,Purs.,41.46341463414634,(i) Action,1
128,NA,0.4,Rej.,40,(i) Action,0
128,NA,0.5432098765432098,Purs.,54.32098765432099,(i) Action,1
130,NA,0.42201834862385323,Rej.,42.201834862385326,(i) Action,0
130,NA,0.3835616438356164,Purs.,38.35616438356164,(i) Action,1
131,NA,0.6071428571428571,Rej.,60.71428571428571,(i) Action,0
131,NA,0.6826923076923077,Purs.,68.26923076923077,(i) Action,1
132,NA,0.5915492957746479,Rej.,59.154929577464785,(i) Action,0
132,NA,0.5416666666666666,Purs.,54.166666666666664,(i) Action,1
133,NA,0.5416666666666666,Rej.,54.166666666666664,(i) Action,0
133,NA,0.7522935779816514,Purs.,75.22935779816514,(i) Action,1
135,NA,0.5555555555555556,Rej.,55.55555555555556,(i) Action,0
135,NA,0.67,Purs.,67,(i) Action,1
