subject,prev_action,m,m_percent,facet_label
103,Rej.,0.4375,43.75,Action
103,Purs.,0.5384615384615384,53.84615384615385,Action
104,Rej.,0.4742268041237113,47.42268041237113,Action
104,Purs.,0.5054945054945055,50.54945054945055,Action
105,Rej.,0.4625,46.25,Action
105,Purs.,0.5697674418604651,56.97674418604651,Action
106,Rej.,0.5522388059701493,55.223880597014926,Action
106,Purs.,0.5824175824175825,58.24175824175825,Action
107,Rej.,0.3611111111111111,36.11111111111111,Action
107,Purs.,0.4142857142857143,41.42857142857143,Action
109,Rej.,0.4444444444444444,44.44444444444444,Action
109,Purs.,0.8095238095238095,80.95238095238095,Action
110,Rej.,0.4942528735632184,49.42528735632184,Action
110,Purs.,0.46987951807228917,46.98795180722892,Action
111,Rej.,0.3978494623655914,39.784946236559136,Action
111,Purs.,0.5375,53.75,Action
112,Rej.,0.3125,31.25,Action
112,Purs.,0.288135593220339,28.8135593220339,Action
114,Rej.,0.5846153846153846,58.46153846153847,Action
114,Purs.,0.6354166666666666,63.541666666666664,Action
115,Rej.,0.5833333333333334,58.333333333333336,Action
115,Purs.,0.5222222222222223,52.22222222222223,Action
116,Rej.,0.42168674698795183,42.168674698795186,Action
116,Purs.,0.5952380952380952,59.523809523809526,Action
117,Rej.,0.8571428571428571,85.71428571428571,Action
117,Purs.,0.6846846846846847,68.46846846846847,Action
118,Rej.,0.8666666666666667,86.66666666666667,Action
118,Purs.,0.7844827586206896,78.44827586206897,Action
119,Rej.,0.6,60,Action
119,Purs.,0.6764705882352942,67.64705882352942,Action
121,Rej.,0.5423728813559322,54.23728813559322,Action
121,Purs.,0.6666666666666666,66.66666666666666,Action
122,Rej.,0.7547169811320755,75.47169811320755,Action
122,Purs.,0.6153846153846154,61.53846153846154,Action
123,Rej.,0.3902439024390244,39.02439024390244,Action
123,Purs.,0.6179775280898876,61.79775280898876,Action
124,Rej.,0.5,50,Action
124,Purs.,0.6195652173913043,61.95652173913043,Action
125,Rej.,0.5384615384615384,53.84615384615385,Action
125,Purs.,0.532608695652174,53.2608695652174,Action
126,Rej.,0.5591397849462365,55.91397849462365,Action
126,Purs.,0.4146341463414634,41.46341463414634,Action
128,Rej.,0.4,40,Action
128,Purs.,0.5432098765432098,54.32098765432099,Action
130,Rej.,0.42201834862385323,42.201834862385326,Action
130,Purs.,0.3835616438356164,38.35616438356164,Action
131,Rej.,0.6071428571428571,60.71428571428571,Action
131,Purs.,0.6826923076923077,68.26923076923077,Action
132,Rej.,0.5915492957746479,59.154929577464785,Action
132,Purs.,0.5416666666666666,54.166666666666664,Action
133,Rej.,0.5416666666666666,54.166666666666664,Action
133,Purs.,0.7522935779816514,75.22935779816514,Action
135,Rej.,0.5555555555555556,55.55555555555556,Action
135,Purs.,0.67,67,Action
