m,se,region,glm,contrast,timepoint
-0.00233886581753051,0.0169785113104125,DRN,GLM_04.1,contr_1,-2
-0.0013706512018235,0.0170237735100902,DRN,GLM_04.1,contr_1,-1.9107142857142858
-3.69169561888778e-4,0.0170482956403493,DRN,GLM_04.1,contr_1,-1.8214285714285714
6.5485991659994e-4,0.0170465634283594,DRN,GLM_04.1,contr_1,-1.7321428571428572
0.00169383448619779,0.0170142307243012,DRN,GLM_04.1,contr_1,-1.6428571428571428
0.00274303714494274,0.0169482650746847,DRN,GLM_04.1,contr_1,-1.5535714285714286
0.00378933347036292,0.0168488851552108,DRN,GLM_04.1,contr_1,-1.4642857142857144
0.00481221936312906,0.0167182027743594,DRN,GLM_04.1,contr_1,-1.375
0.00579927125782345,0.0165601170553812,DRN,GLM_04.1,contr_1,-1.2857142857142858
0.0067434506199502,0.0163807939427606,DRN,GLM_04.1,contr_1,-1.1964285714285714
0.00763995449947449,0.0161892023230843,DRN,GLM_04.1,contr_1,-1.1071428571428572
0.0084781037152347,0.0159945428832276,DRN,GLM_04.1,contr_1,-1.0178571428571428
0.00924312704220819,0.0158050252187489,DRN,GLM_04.1,contr_1,-0.9285714285714286
0.0099227488704726,0.0156282476412887,DRN,GLM_04.1,contr_1,-0.8392857142857142
0.0105111665615324,0.0154711174675606,DRN,GLM_04.1,contr_1,-0.75
0.0110138991741035,0.0153407083804525,DRN,GLM_04.1,contr_1,-0.6607142857142858
0.0114386784845964,0.0152441502904078,DRN,GLM_04.1,contr_1,-0.5714285714285716
0.0117956992327574,0.0151876022288896,DRN,GLM_04.1,contr_1,-0.4821428571428572
0.012097395778796,0.0151747705713301,DRN,GLM_04.1,contr_1,-0.3928571428571428
0.0123592364843387,0.0152072478740479,DRN,GLM_04.1,contr_1,-0.3035714285714284
0.0126050712451807,0.015285829102289,DRN,GLM_04.1,contr_1,-0.2142857142857142
0.0128530557950098,0.0154089108013629,DRN,GLM_04.1,contr_1,-0.125
0.0131218617620443,0.0155706262857901,DRN,GLM_04.1,contr_1,-0.03571428571428581
0.013419323549335,0.0157620396019301,DRN,GLM_04.1,contr_1,0.05357142857142838
0.0137517295371709,0.0159717563488631,DRN,GLM_04.1,contr_1,0.1428571428571428
0.0141221919044456,0.0161873904864227,DRN,GLM_04.1,contr_1,0.2321428571428572
0.0145413114821423,0.0163971069261321,DRN,GLM_04.1,contr_1,0.3214285714285716
0.0150232641897774,0.0165897579470609,DRN,GLM_04.1,contr_1,0.4107142857142856
0.0155757120736247,0.0167539290158128,DRN,GLM_04.1,contr_1,0.5
0.0162032912195723,0.0168783915335083,DRN,GLM_04.1,contr_1,0.5892857142857144
0.0169139826177539,0.0169523341617203,DRN,GLM_04.1,contr_1,0.6785714285714284
0.0177215191467702,0.0169660625802641,DRN,GLM_04.1,contr_1,0.7678571428571432
0.0186378286730945,0.0169129703130884,DRN,GLM_04.1,contr_1,0.8571428571428568
0.019670100935852,0.0167884161252455,DRN,GLM_04.1,contr_1,0.9464285714285716
0.0208173021961427,0.0165894519105349,DRN,GLM_04.1,contr_1,1.0357142857142856
0.022067692175912,0.0163162361173677,DRN,GLM_04.1,contr_1,1.125
0.0234109015330558,0.0159716207961375,DRN,GLM_04.1,contr_1,1.2142857142857144
0.0248350418044686,0.0155613669128278,DRN,GLM_04.1,contr_1,1.3035714285714284
0.026328069729685,0.0150938830863603,DRN,GLM_04.1,contr_1,1.3928571428571432
0.0278726953676467,0.0145813578739482,DRN,GLM_04.1,contr_1,1.4821428571428568
0.0294415578983108,0.0140414075356982,DRN,GLM_04.1,contr_1,1.5714285714285716
0.0310053417684897,0.0134963027320421,DRN,GLM_04.1,contr_1,1.6607142857142856
0.0325323677350636,0.0129718216711362,DRN,GLM_04.1,contr_1,1.75
0.0339998754432827,0.0124947420783134,DRN,GLM_04.1,contr_1,1.8392857142857144
0.0353861627834446,0.0120912174491423,DRN,GLM_04.1,contr_1,1.9285714285714284
0.0366761750642461,0.0117847536184828,DRN,GLM_04.1,contr_1,2.0178571428571432
