subject,mag,switch_type,switch_rate,switch_rate_percent,facet_label
103,10,Purs.,0.12121212121212122,12.121212121212121,Rich-env.
103,10,Rej.,0.15151515151515152,15.151515151515152,Rich-env.
104,10,Purs.,0.14814814814814814,14.814814814814813,Rich-env.
104,10,Rej.,0.1851851851851852,18.51851851851852,Rich-env.
105,10,Purs.,0.07407407407407407,7.4074074074074066,Rich-env.
105,10,Rej.,0.11538461538461538,11.538461538461538,Rich-env.
106,10,Purs.,0.33333333333333337,33.333333333333336,Rich-env.
106,10,Rej.,0.24,24,Rich-env.
107,10,Purs.,0.03448275862068967,3.448275862068967,Rich-env.
107,10,Rej.,0.07142857142857144,7.142857142857144,Rich-env.
109,10,Purs.,0.08333333333333333,8.333333333333332,Rich-env.
109,10,Rej.,0.07692307692307694,7.692307692307694,Rich-env.
110,10,Purs.,0.21428571428571427,21.428571428571427,Rich-env.
110,10,Rej.,0.25925925925925924,25.925925925925924,Rich-env.
111,10,Purs.,0.15384615384615385,15.384615384615385,Rich-env.
111,10,Rej.,0.11111111111111108,11.111111111111107,Rich-env.
112,10,Purs.,0,0,Rich-env.
112,10,Rej.,0,0,Rich-env.
114,10,Purs.,0.1764705882352941,17.64705882352941,Rich-env.
114,10,Rej.,0.1818181818181818,18.18181818181818,Rich-env.
115,10,Purs.,0.20000000000000004,20.000000000000004,Rich-env.
115,10,Rej.,0.22727272727272727,22.727272727272727,Rich-env.
116,10,Purs.,0.0689655172413793,6.89655172413793,Rich-env.
116,10,Rej.,0.07407407407407408,7.407407407407408,Rich-env.
117,10,Purs.,0.22222222222222218,22.222222222222218,Rich-env.
117,10,Rej.,0.24137931034482757,24.137931034482758,Rich-env.
118,10,Purs.,0,0,Rich-env.
118,10,Rej.,0,0,Rich-env.
119,10,Purs.,0,0,Rich-env.
119,10,Rej.,0,0,Rich-env.
121,10,Purs.,0.17391304347826086,17.391304347826086,Rich-env.
121,10,Rej.,0.125,12.5,Rich-env.
122,10,Purs.,0,0,Rich-env.
122,10,Rej.,0,0,Rich-env.
123,10,Purs.,0,0,Rich-env.
123,10,Rej.,0,0,Rich-env.
124,10,Purs.,0.19230769230769232,19.230769230769234,Rich-env.
124,10,Rej.,0.12,12,Rich-env.
125,10,Purs.,0.20000000000000004,20.000000000000004,Rich-env.
125,10,Rej.,0.15384615384615385,15.384615384615385,Rich-env.
126,10,Purs.,0.2352941176470588,23.52941176470588,Rich-env.
126,10,Rej.,0.24242424242424243,24.242424242424242,Rich-env.
128,10,Purs.,0.23076923076923075,23.076923076923077,Rich-env.
128,10,Rej.,0.19230769230769232,19.230769230769234,Rich-env.
130,10,Purs.,0.2058823529411765,20.58823529411765,Rich-env.
130,10,Rej.,0.16129032258064516,16.129032258064516,Rich-env.
131,10,Purs.,0.13043478260869565,13.043478260869565,Rich-env.
131,10,Rej.,0.13636363636363638,13.636363636363638,Rich-env.
132,10,Purs.,0.11111111111111109,11.111111111111109,Rich-env.
132,10,Rej.,0.21428571428571427,21.428571428571427,Rich-env.
133,10,Purs.,0.1379310344827586,13.79310344827586,Rich-env.
133,10,Rej.,0.12903225806451613,12.903225806451612,Rich-env.
135,10,Purs.,0.04347826086956523,4.347826086956523,Rich-env.
135,10,Rej.,0.039999999999999994,3.9999999999999996,Rich-env.
