GLM,contrast,timelock,region,peak
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0.0659151350418961
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0.11713664076588
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.0678923576395822
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0.128259080922336
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.238284227403285
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.067971878908299
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.105071554152936
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.0385966678792128
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0.186553487349164
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.232475652414155
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.0718411264602487
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.104319152310982
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0.0207897317286602
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0.124730208367449
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.13627192715541
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.0247350888866394
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.192237747934209
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.0439626934318497
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0.039538309126858
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.00897223094342697
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.124186873475327
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.0902481285297853
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.136162798403088
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.182863960457359
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.134431988744713
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.177472107710259
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.036401374596447
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0.0586380092147785
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0.069349228505852
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.0235815870257316
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.0586923161120169
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.0680160953131628
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0.019303266793621002
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.00632442396265117
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.0700300407910633
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.248682947906149
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0.00864981064335064
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0.0369603544575734
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.252423996254893
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0.10876236551388
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.0201962003277562
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0.00821458819399628
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.0923613734259417
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.232751789116806
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.156237481435722
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.129812639464669
