subject,mag,prev_policy,mu_val_pe_graph,m
103,5,0,-2.2421644878318583,0
103,5,0,-1.3527611886488888,0.25
103,5,0,-0.9292921247632744,0
103,5,0,-0.42912256917699115,0
103,5,0,-0.1847670895389755,0
103,5,0,0.07516619199555553,0
103,5,0,0.4568881645622222,0
103,5,0,0.8463582874052864,0.1111111111111111
103,5,1,0.8463582874052864,0.5
103,5,NA,-2.2421644878318583,0
103,5,NA,-1.3527611886488888,0
103,5,NA,-0.9292921247632744,0
103,10,0,-2.2421644878318583,0
103,10,0,-1.3527611886488888,0.4
103,10,0,-0.9292921247632744,0.16666666666666666
103,10,0,-0.42912256917699115,1
103,10,0,-0.1847670895389755,0.5
103,10,0,0.07516619199555553,0.3333333333333333
103,10,0,0.8463582874052864,0.25
103,10,0,1.370355383663697,1
103,10,1,-2.2421644878318583,0.5
103,10,1,-1.3527611886488888,1
103,10,1,-0.9292921247632744,0.6666666666666666
103,10,1,0.07516619199555553,0.2857142857142857
103,10,1,0.8463582874052864,0.6666666666666666
103,10,NA,-2.2421644878318583,1
103,10,NA,-1.3527611886488888,0
103,10,NA,-0.42912256917699115,1
103,10,NA,0.07516619199555553,0
103,50,0,1.370355383663697,1
103,50,1,-0.42912256917699115,1
103,50,1,0.07516619199555553,1
103,50,1,0.8463582874052864,1
103,50,1,1.370355383663697,0.95
103,50,1,2.3996080321492204,1
103,50,NA,0.07516619199555553,1
103,50,NA,1.370355383663697,1
103,50,NA,2.3996080321492204,1
104,5,0,-2.2421644878318583,0
104,5,0,-1.3527611886488888,0
104,5,0,-0.9292921247632744,0
104,5,0,-0.42912256917699115,0
104,5,0,-0.1847670895389755,0
104,5,0,0.4568881645622222,0.058823529411764705
104,5,NA,-2.2421644878318583,0
104,5,NA,-1.3527611886488888,0
104,5,NA,-0.42912256917699115,0
104,10,0,-2.2421644878318583,0
104,10,0,-1.3527611886488888,0.2222222222222222
104,10,0,-0.9292921247632744,0.2
104,10,0,-0.42912256917699115,1
104,10,0,-0.1847670895389755,0.5
104,10,0,0.07516619199555553,0.6666666666666666
104,10,0,0.8463582874052864,0.6
104,10,1,-1.3527611886488888,0
104,10,1,-0.9292921247632744,0.3333333333333333
104,10,1,-0.1847670895389755,0.5
104,10,1,0.07516619199555553,0.25
104,10,1,0.8463582874052864,0.8181818181818182
104,10,NA,-1.3527611886488888,0.5
104,10,NA,-0.9292921247632744,1
104,10,NA,-0.42912256917699115,0
104,50,1,-1.3527611886488888,1
104,50,1,-0.42912256917699115,1
104,50,1,0.07516619199555553,1
104,50,1,0.4568881645622222,1
104,50,1,0.8463582874052864,1
104,50,1,1.370355383663697,1
104,50,1,2.3996080321492204,1
104,50,NA,1.370355383663697,1
104,50,NA,2.3996080321492204,1
105,5,0,-2.2421644878318583,0
105,5,0,-1.3527611886488888,0.1111111111111111
105,5,0,-0.9292921247632744,0
105,5,0,-0.42912256917699115,0
105,5,0,-0.1847670895389755,0.06666666666666667
105,5,0,0.07516619199555553,0
105,5,0,0.4568881645622222,0
105,5,0,0.8463582874052864,0
105,5,NA,-2.2421644878318583,0
105,5,NA,-0.1847670895389755,0
105,10,0,-2.2421644878318583,0
105,10,0,-1.3527611886488888,0.6666666666666666
105,10,0,-0.9292921247632744,0.3333333333333333
105,10,0,-0.42912256917699115,0
105,10,0,-0.1847670895389755,0
105,10,0,0.07516619199555553,0
105,10,0,0.8463582874052864,0.5
105,10,1,-2.2421644878318583,0
105,10,1,-1.3527611886488888,0.8
105,10,1,-0.9292921247632744,0.6666666666666666
105,10,1,-0.1847670895389755,1
105,10,1,0.07516619199555553,0.8333333333333334
105,10,1,0.8463582874052864,0.8
105,10,NA,-2.2421644878318583,0
105,10,NA,-1.3527611886488888,0
105,10,NA,-0.9292921247632744,1
105,10,NA,0.07516619199555553,1
105,50,1,-0.42912256917699115,1
105,50,1,0.07516619199555553,1
105,50,1,0.4568881645622222,1
105,50,1,0.8463582874052864,1
105,50,1,1.370355383663697,1
105,50,1,2.3996080321492204,1
105,50,NA,-0.42912256917699115,1
105,50,NA,1.370355383663697,1
105,50,NA,2.3996080321492204,1
106,5,0,-2.2421644878318583,0
106,5,0,-1.3527611886488888,0
106,5,0,-0.9292921247632744,0
106,5,0,-0.42912256917699115,0.05
106,5,0,-0.1847670895389755,0.2
106,5,0,0.4568881645622222,0
106,5,NA,-1.3527611886488888,0
106,5,NA,-0.42912256917699115,0
106,5,NA,0.4568881645622222,0
106,10,0,-2.2421644878318583,0.6
106,10,0,-1.3527611886488888,1
106,10,0,-0.9292921247632744,1
106,10,0,0.07516619199555553,0.5
106,10,0,0.8463582874052864,1
106,10,1,-2.2421644878318583,0
106,10,1,-1.3527611886488888,0.16666666666666666
106,10,1,-0.9292921247632744,0.6
106,10,1,-0.1847670895389755,0.6666666666666666
106,10,1,0.07516619199555553,1
106,10,1,0.8463582874052864,0.75
106,10,NA,-2.2421644878318583,0
106,10,NA,-0.9292921247632744,1
106,10,NA,0.8463582874052864,1
106,50,1,-0.42912256917699115,1
106,50,1,-0.1847670895389755,1
106,50,1,0.4568881645622222,1
106,50,1,0.8463582874052864,1
106,50,1,1.370355383663697,1
106,50,1,2.3996080321492204,1
106,50,NA,1.370355383663697,1
106,50,NA,2.3996080321492204,1
107,5,0,-2.2421644878318583,0
107,5,0,-1.3527611886488888,0
107,5,0,-0.9292921247632744,0
107,5,0,-0.42912256917699115,0
107,5,0,-0.1847670895389755,0
107,5,0,0.07516619199555553,0
107,5,0,0.4568881645622222,0
107,5,NA,-2.2421644878318583,0
107,5,NA,-1.3527611886488888,0
107,10,0,-2.2421644878318583,0
107,10,0,-1.3527611886488888,0
107,10,0,-0.9292921247632744,0.07692307692307693
