switch_type,window_start,mean_peak,se,n,n_comparisons,alpha_bonf,z_crit,ci_bonf,significant
(i) Congruent poor,1,0.012046369356999797,0.01509501034544384,27,10,0.005,2.8070337683438114,0.04237220377316004,FALSE
(i) Congruent poor,2,-0.01717323145154263,0.018465773464770144,27,10,0.005,2.8070337683438114,0.05183404967419689,FALSE
(i) Congruent poor,3,0.010462069106590312,0.021022080432103178,27,10,0.005,2.8070337683438114,0.059009689653753285,FALSE
(i) Congruent poor,4,0.04717152832859512,0.0295142305003597,27,10,0.005,2.8070337683438114,0.08284744166119254,FALSE
(i) Congruent poor,5,0.024642796900406515,0.02727653332883325,27,10,0.005,2.8070337683438114,0.07656615013739036,FALSE
(i) Congruent poor,6,0.057872082237058954,0.030878036203659198,27,10,0.005,2.8070337683438114,0.08667569032381411,FALSE
(i) Congruent poor,7,0.043288547004706836,0.028689344535564574,27,10,0.005,2.8070337683438114,0.08053195890297976,FALSE
(i) Congruent poor,8,0.062102990712656,0.026591932601022435,27,10,0.005,2.8070337683438114,0.07464445277659265,FALSE
(i) Congruent poor,9,0.06771414413008042,0.023869289469726055,27,10,0.005,2.8070337683438114,0.06700190156789439,TRUE
(i) Congruent poor,10,0.06841238146156667,0.01960073289652564,27,10,0.005,2.8070337683438114,0.05501991912483488,TRUE
(ii) Congruent rich,1,0.026300547103823135,0.02003138508934538,27,10,0.005,2.8070337683438114,0.0562287743724912,FALSE
(ii) Congruent rich,2,-0.03539751514083068,0.026013128616715116,27,10,0.005,2.8070337683438114,0.07301973044739007,FALSE
(ii) Congruent rich,3,-0.028433486919583428,0.017690177392741226,27,10,0.005,2.8070337683438114,0.049656925309416906,FALSE
(ii) Congruent rich,4,-0.024938849859845368,0.015740159939275054,27,10,0.005,2.8070337683438114,0.044183160468677554,FALSE
(ii) Congruent rich,5,-0.04342669517746697,0.013824125525998238,27,10,0.005,2.8070337683438114,0.038804787169300706,TRUE
(ii) Congruent rich,6,-0.051785736050723175,0.01659704620015836,27,10,0.005,2.8070337683438114,0.046588469138606856,TRUE
(ii) Congruent rich,7,-0.018321507854747687,0.021368317152157427,27,10,0.005,2.8070337683438114,0.05998158781878616,FALSE
(ii) Congruent rich,8,0.021199079387669836,0.016566242494969942,27,10,0.005,2.8070337683438114,0.04650200209795286,FALSE
(ii) Congruent rich,9,0.04178402130720246,0.01827437521907028,27,10,0.005,2.8070337683438114,0.05129678833531562,FALSE
(ii) Congruent rich,10,0.04810982198960499,0.022530878935476353,27,10,0.005,2.8070337683438114,0.06324493800234839,FALSE
