subject,mag,switch_type,switch_rate,switch_rate_percent,facet_label
103,10,Purs.,0.2692307692307693,26.923076923076927,Poor-env.
103,10,Rej.,0.25925925925925924,25.925925925925924,Poor-env.
104,10,Purs.,0.23809523809523805,23.809523809523807,Poor-env.
104,10,Rej.,0.20930232558139536,20.930232558139537,Poor-env.
105,10,Purs.,0.1379310344827586,13.79310344827586,Poor-env.
105,10,Rej.,0.10344827586206898,10.344827586206899,Poor-env.
106,10,Purs.,0.1851851851851852,18.51851851851852,Poor-env.
106,10,Rej.,0.20689655172413793,20.689655172413794,Poor-env.
107,10,Purs.,0.1875,18.75,Poor-env.
107,10,Rej.,0.1428571428571429,14.28571428571429,Poor-env.
109,10,Purs.,0.25,25,Poor-env.
109,10,Rej.,0.30434782608695654,30.434782608695656,Poor-env.
110,10,Purs.,0.25925925925925924,25.925925925925924,Poor-env.
110,10,Rej.,0.25925925925925924,25.925925925925924,Poor-env.
111,10,Purs.,0.15384615384615385,15.384615384615385,Poor-env.
111,10,Rej.,0.125,12.5,Poor-env.
112,10,Purs.,0,0,Poor-env.
112,10,Rej.,0,0,Poor-env.
114,10,Purs.,0.08695652173913047,8.695652173913047,Poor-env.
114,10,Rej.,0.03999999999999999,3.9999999999999987,Poor-env.
115,10,Purs.,0.25806451612903225,25.806451612903224,Poor-env.
115,10,Rej.,0.1875,18.75,Poor-env.
116,10,Purs.,0.16216216216216214,16.216216216216214,Poor-env.
116,10,Rej.,0.11111111111111106,11.111111111111107,Poor-env.
117,10,Purs.,0.1739130434782609,17.39130434782609,Poor-env.
117,10,Rej.,0.15384615384615385,15.384615384615385,Poor-env.
118,10,Purs.,0,0,Poor-env.
118,10,Rej.,0,0,Poor-env.
119,10,Purs.,0.1,10,Poor-env.
119,10,Rej.,0.09375,9.375,Poor-env.
121,10,Purs.,0.037037037037037035,3.7037037037037033,Poor-env.
121,10,Rej.,0.03448275862068965,3.448275862068965,Poor-env.
122,10,Purs.,0.057142857142857134,5.7142857142857135,Poor-env.
122,10,Rej.,0.05405405405405406,5.405405405405405,Poor-env.
123,10,Purs.,0.03846153846153847,3.846153846153847,Poor-env.
123,10,Rej.,0.03846153846153847,3.846153846153847,Poor-env.
124,10,Purs.,0.19230769230769232,19.230769230769234,Poor-env.
124,10,Rej.,0.15384615384615388,15.384615384615389,Poor-env.
125,10,Purs.,0.20689655172413796,20.689655172413797,Poor-env.
125,10,Rej.,0.20689655172413796,20.689655172413797,Poor-env.
126,10,Purs.,0.3548387096774194,35.483870967741936,Poor-env.
126,10,Rej.,0.2903225806451613,29.03225806451613,Poor-env.
128,10,Purs.,0.20833333333333331,20.833333333333332,Poor-env.
128,10,Rej.,0.17391304347826086,17.391304347826086,Poor-env.
130,10,Purs.,0.1818181818181818,18.18181818181818,Poor-env.
130,10,Rej.,0.2121212121212121,21.21212121212121,Poor-env.
131,10,Purs.,0.0625,6.25,Poor-env.
131,10,Rej.,0.02941176470588235,2.941176470588235,Poor-env.
132,10,Purs.,0.25,25,Poor-env.
132,10,Rej.,0.1764705882352941,17.64705882352941,Poor-env.
133,10,Purs.,0.11999999999999998,11.999999999999998,Poor-env.
133,10,Rej.,0.1428571428571429,14.28571428571429,Poor-env.
135,10,Purs.,0.04166666666666668,4.166666666666668,Poor-env.
135,10,Rej.,0.03703703703703705,3.703703703703705,Poor-env.
