m,se,region,glm,contrast,timepoint
0.00899348486623062,0.0124925878153538,MS,GLM_0S7.1,contr_1,-2
0.00954053892870317,0.012279454812011,MS,GLM_0S7.1,contr_1,-1.9107142857142858
0.0101120680784409,0.0121065929398739,MS,GLM_0S7.1,contr_1,-1.8214285714285714
0.0107121831389332,0.0119706856398102,MS,GLM_0S7.1,contr_1,-1.7321428571428572
0.0113407603243462,0.011866197297543,MS,GLM_0S7.1,contr_1,-1.6428571428571428
0.0119901421770848,0.0117857231026353,MS,GLM_0S7.1,contr_1,-1.5535714285714286
0.0126472804188528,0.0117222801217954,MS,GLM_0S7.1,contr_1,-1.4642857142857144
0.0133059079223859,0.0116698183060489,MS,GLM_0S7.1,contr_1,-1.375
0.0139603768890913,0.0116224995109816,MS,GLM_0S7.1,contr_1,-1.2857142857142858
0.0146041269400238,0.0115757168409068,MS,GLM_0S7.1,contr_1,-1.1964285714285714
0.015229923062505,0.0115263175403482,MS,GLM_0S7.1,contr_1,-1.1071428571428572
0.0158282187228646,0.0114730827379784,MS,GLM_0S7.1,contr_1,-1.0178571428571428
0.0163968800379191,0.0114165879030795,MS,GLM_0S7.1,contr_1,-0.9285714285714286
0.0169351333908933,0.0113597163984354,MS,GLM_0S7.1,contr_1,-0.8392857142857142
0.0174391105034579,0.011307642905421,MS,GLM_0S7.1,contr_1,-0.75
0.0179057518939342,0.0112672617911442,MS,GLM_0S7.1,contr_1,-0.6607142857142858
0.0183263330818239,0.011245184758125,MS,GLM_0S7.1,contr_1,-0.5714285714285716
0.0186892955983808,0.0112494473913089,MS,GLM_0S7.1,contr_1,-0.4821428571428572
0.0189807962023296,0.0112891676387632,MS,GLM_0S7.1,contr_1,-0.3928571428571428
0.0191858111825274,0.0113732021485485,MS,GLM_0S7.1,contr_1,-0.3035714285714284
0.0192944175817986,0.0115095494720165,MS,GLM_0S7.1,contr_1,-0.2142857142857142
0.0193047489506329,0.0117015988744708,MS,GLM_0S7.1,contr_1,-0.125
0.0192187617776609,0.0119466354552491,MS,GLM_0S7.1,contr_1,-0.03571428571428581
0.019036406599621,0.0122370195709174,MS,GLM_0S7.1,contr_1,0.05357142857142838
0.0187600272333768,0.0125617734286817,MS,GLM_0S7.1,contr_1,0.1428571428571428
0.0184005238264366,0.0129085719524143,MS,GLM_0S7.1,contr_1,0.2321428571428572
0.0179745023505936,0.013264989544517,MS,GLM_0S7.1,contr_1,0.3214285714285716
0.0174909857403955,0.0136195525178772,MS,GLM_0S7.1,contr_1,0.4107142857142856
0.0169583049265804,0.0139607735808622,MS,GLM_0S7.1,contr_1,0.5
0.0163866584177546,0.0142784873610928,MS,GLM_0S7.1,contr_1,0.5892857142857144
0.0157885869810562,0.0145642717286038,MS,GLM_0S7.1,contr_1,0.6785714285714284
0.0151809290783442,0.0148112366296948,MS,GLM_0S7.1,contr_1,0.7678571428571432
0.0145734811530789,0.0150139885708846,MS,GLM_0S7.1,contr_1,0.8571428571428568
0.0139719477805202,0.0151681646707452,MS,GLM_0S7.1,contr_1,0.9464285714285716
0.0133816150121189,0.0152707725932394,MS,GLM_0S7.1,contr_1,1.0357142857142856
0.0128074070314874,0.0153211219305156,MS,GLM_0S7.1,contr_1,1.125
0.0122626053493483,0.0153226662854656,MS,GLM_0S7.1,contr_1,1.2142857142857144
0.0117663678312386,0.0152815201208114,MS,GLM_0S7.1,contr_1,1.3035714285714284
0.0113407285833822,0.0152063182718726,MS,GLM_0S7.1,contr_1,1.3928571428571432
0.0110098461408915,0.015107840852492,MS,GLM_0S7.1,contr_1,1.4821428571428568
0.0107896107401902,0.0149996501790314,MS,GLM_0S7.1,contr_1,1.5714285714285716
0.0106828007345177,0.0148960307118598,MS,GLM_0S7.1,contr_1,1.6607142857142856
0.0106895916426198,0.0148093913452909,MS,GLM_0S7.1,contr_1,1.75
0.0108128651719917,0.0147494364085675,MS,GLM_0S7.1,contr_1,1.8392857142857144
