GLM,contrast,timelock,region,peak
GLM_04.1,contr1,offer-timelocked,DRN,1.45743146011367e-4
GLM_04.1,contr1,offer-timelocked,LC,-0.0322224555912024
GLM_04.1,contr1,offer-timelocked,MS,-0.0206134827016052
GLM_04.1,contr1,offer-timelocked,MBD,0.0120114075737727
GLM_04.1,contr1,offer-timelocked,DRN,-0.0394022252456991
GLM_04.1,contr1,offer-timelocked,LC,-0.0469133620295868
GLM_04.1,contr1,offer-timelocked,MS,0.0268107444595713
GLM_04.1,contr1,offer-timelocked,MBD,-0.0690746796693405
GLM_04.1,contr1,offer-timelocked,DRN,-0.0100769040063569
GLM_04.1,contr1,offer-timelocked,LC,0.0145854252961005
GLM_04.1,contr1,offer-timelocked,MS,0.0191500421466636
GLM_04.1,contr1,offer-timelocked,MBD,-0.0460820480149294
GLM_04.1,contr1,offer-timelocked,DRN,0.0521142078526059
GLM_04.1,contr1,offer-timelocked,LC,0.00265373783035423
GLM_04.1,contr1,offer-timelocked,MS,0.0643535780578738
GLM_04.1,contr1,offer-timelocked,MBD,-0.0991194148352979
GLM_04.1,contr1,offer-timelocked,DRN,5.70523275261591e-5
GLM_04.1,contr1,offer-timelocked,LC,3.07150373548181e-4
GLM_04.1,contr1,offer-timelocked,MS,0.00581309898097607
GLM_04.1,contr1,offer-timelocked,MBD,0.0804653085769488
GLM_04.1,contr1,offer-timelocked,DRN,0.069175830448626
GLM_04.1,contr1,offer-timelocked,LC,0.110786173853191
GLM_04.1,contr1,offer-timelocked,MS,-0.018887909478576
GLM_04.1b,contr1,offer-timelocked,MBD,-0.027138570602711
GLM_04.1b,contr1,offer-timelocked,DRN,-0.19341714485067
GLM_04.1b,contr1,offer-timelocked,LC,0.0436353716196628
GLM_04.1b,contr1,offer-timelocked,MS,0.104005722516838
GLM_04.1b,contr1,offer-timelocked,MBD,0.141409100415089
GLM_04.1b,contr1,offer-timelocked,DRN,0.0700081149994857
GLM_04.1b,contr1,offer-timelocked,LC,-0.134401644448954
GLM_04.1b,contr1,offer-timelocked,MS,-0.0130285100233122
GLM_04.1b,contr1,offer-timelocked,MBD,-0.00998024241850956
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0271989253781242
GLM_04.1b,contr1,offer-timelocked,LC,0.0969115020552128
GLM_04.1b,contr1,offer-timelocked,MS,-0.0248721696778935
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0754078977713014
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0925898645675303
GLM_04.1b,contr1,offer-timelocked,LC,0.00645579993543976
GLM_04.1b,contr1,offer-timelocked,MS,0.118694273765786
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0442493668491147
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0800674782226167
GLM_04.1b,contr1,offer-timelocked,LC,-0.0749116419267857
GLM_04.1b,contr1,offer-timelocked,MS,-0.0396352389220843
GLM_04.1b,contr1,offer-timelocked,MBD,0.178768545998379
GLM_04.1b,contr1,offer-timelocked,DRN,0.0777698067295758
GLM_04.1b,contr1,offer-timelocked,LC,0.0331315614016373
