subject,mu_val_graph,switch_rate,facet_label
103,-1.4551546219736842,8.333333333333332,(i) Pursue-sw. [5-pt]
103,-1.2868295825320513,0,(i) Pursue-sw. [5-pt]
103,-0.8472280202275863,0,(i) Pursue-sw. [5-pt]
103,-0.5856741508481013,0,(i) Pursue-sw. [5-pt]
103,-0.4924754548095238,0,(i) Pursue-sw. [5-pt]
103,-0.3773912735333333,0,(i) Pursue-sw. [5-pt]
103,0.16468950546,0,(i) Pursue-sw. [5-pt]
103,0.3593379018193548,25,(i) Pursue-sw. [5-pt]
103,0.8230736380551724,0,(i) Pursue-sw. [5-pt]
103,1.644259112370861,0,(i) Pursue-sw. [5-pt]
104,-1.4551546219736842,0,(i) Pursue-sw. [5-pt]
104,-1.2868295825320513,10.000000000000002,(i) Pursue-sw. [5-pt]
104,-0.8472280202275863,0,(i) Pursue-sw. [5-pt]
104,-0.5856741508481013,0,(i) Pursue-sw. [5-pt]
104,-0.4924754548095238,0,(i) Pursue-sw. [5-pt]
104,-0.3773912735333333,0,(i) Pursue-sw. [5-pt]
104,0.16468950546,0,(i) Pursue-sw. [5-pt]
104,0.3593379018193548,0,(i) Pursue-sw. [5-pt]
104,0.8230736380551724,0,(i) Pursue-sw. [5-pt]
104,1.644259112370861,0,(i) Pursue-sw. [5-pt]
105,-1.4551546219736842,0,(i) Pursue-sw. [5-pt]
105,-1.2868295825320513,0,(i) Pursue-sw. [5-pt]
105,-0.8472280202275863,0,(i) Pursue-sw. [5-pt]
105,-0.5856741508481013,12.5,(i) Pursue-sw. [5-pt]
105,-0.4924754548095238,0,(i) Pursue-sw. [5-pt]
105,-0.3773912735333333,0,(i) Pursue-sw. [5-pt]
105,0.16468950546,0,(i) Pursue-sw. [5-pt]
105,0.3593379018193548,11.111111111111109,(i) Pursue-sw. [5-pt]
105,0.8230736380551724,0,(i) Pursue-sw. [5-pt]
105,1.644259112370861,0,(i) Pursue-sw. [5-pt]
106,-1.4551546219736842,0,(i) Pursue-sw. [5-pt]
106,-1.2868295825320513,0,(i) Pursue-sw. [5-pt]
106,-0.8472280202275863,0,(i) Pursue-sw. [5-pt]
106,-0.5856741508481013,20,(i) Pursue-sw. [5-pt]
106,-0.4924754548095238,7.142857142857144,(i) Pursue-sw. [5-pt]
106,-0.3773912735333333,0,(i) Pursue-sw. [5-pt]
106,0.16468950546,0,(i) Pursue-sw. [5-pt]
106,0.3593379018193548,0,(i) Pursue-sw. [5-pt]
106,0.8230736380551724,0,(i) Pursue-sw. [5-pt]
106,1.644259112370861,0,(i) Pursue-sw. [5-pt]
107,-1.2868295825320513,0,(i) Pursue-sw. [5-pt]
107,-0.8472280202275863,0,(i) Pursue-sw. [5-pt]
107,-0.4924754548095238,0,(i) Pursue-sw. [5-pt]
107,-0.3773912735333333,0,(i) Pursue-sw. [5-pt]
107,0.16468950546,0,(i) Pursue-sw. [5-pt]
107,0.3593379018193548,0,(i) Pursue-sw. [5-pt]
107,0.8230736380551724,0,(i) Pursue-sw. [5-pt]
107,1.644259112370861,0,(i) Pursue-sw. [5-pt]
109,-1.4551546219736842,18.18181818181818,(i) Pursue-sw. [5-pt]
109,-1.2868295825320513,0,(i) Pursue-sw. [5-pt]
109,-0.5856741508481013,33.333333333333336,(i) Pursue-sw. [5-pt]
109,-0.4924754548095238,0,(i) Pursue-sw. [5-pt]
109,-0.3773912735333333,41.666666666666664,(i) Pursue-sw. [5-pt]
109,0.16468950546,0,(i) Pursue-sw. [5-pt]
109,0.3593379018193548,14.285714285714288,(i) Pursue-sw. [5-pt]
109,0.8230736380551724,25,(i) Pursue-sw. [5-pt]
109,1.644259112370861,16.666666666666668,(i) Pursue-sw. [5-pt]
110,-1.4551546219736842,0,(i) Pursue-sw. [5-pt]
110,-1.2868295825320513,0,(i) Pursue-sw. [5-pt]
110,-0.8472280202275863,25,(i) Pursue-sw. [5-pt]
110,-0.5856741508481013,0,(i) Pursue-sw. [5-pt]
110,-0.4924754548095238,0,(i) Pursue-sw. [5-pt]
110,-0.3773912735333333,20,(i) Pursue-sw. [5-pt]
110,0.16468950546,0,(i) Pursue-sw. [5-pt]
110,0.3593379018193548,0,(i) Pursue-sw. [5-pt]
110,0.8230736380551724,0,(i) Pursue-sw. [5-pt]
110,1.644259112370861,0,(i) Pursue-sw. [5-pt]
111,-1.4551546219736842,0,(i) Pursue-sw. [5-pt]
111,-1.2868295825320513,0,(i) Pursue-sw. [5-pt]
111,-0.8472280202275863,0,(i) Pursue-sw. [5-pt]
111,-0.5856741508481013,0,(i) Pursue-sw. [5-pt]
