GLM,contrast,timelock,region,peak
GLM_0S7.1,contr1,offer-timelocked,MS,0.0775675894968718
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.055321033958564
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.130325449838129
GLM_0S7.1,contr1,offer-timelocked,LC,-0.121939163846464
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0318451742821994
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.0661847552740983
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0524543637324592
GLM_0S7.1,contr1,offer-timelocked,LC,-0.133236162651378
GLM_0S7.1,contr1,offer-timelocked,MS,0.102499687798297
GLM_0S7.1,contr1,offer-timelocked,MBD,0.0108587440694269
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.00938494645816818
GLM_0S7.1,contr1,offer-timelocked,LC,0.00126696060153188
GLM_0S7.1,contr1,offer-timelocked,MS,0.101163337405427
GLM_0S7.1,contr1,offer-timelocked,MBD,0.0177838818189085
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.012909449797281
GLM_0S7.1,contr1,offer-timelocked,LC,0.056974142979432
GLM_0S7.1,contr1,offer-timelocked,MS,0.0309068869383258
