subject,poor_5,rich_5,poor_10,rich_10,poor_50,rich_50,total_reward,env_diff
103,0.057692307692307696,0,0.5,0.4117647058823529,1,0.9767441860465116,2.17207019977731,0.08823529411764708
104,0.022222222222222223,0,0.5813953488372093,0.20689655172413793,1,1,1.9819700526331048,0.37449879711307144
105,0.023255813953488372,0.08333333333333333,0.5666666666666667,0.4642857142857143,1,1,0.6829523804810346,0.10238095238095235
106,0.045454545454545456,0,0.7586206896551724,0.6538461538461539,1,1,-0.01408149238105193,0.10477453580901852
107,0.061224489795918366,0,0.25,0.06896551724137931,1,1,-0.5526985759563006,0.1810344827586207
109,0.30612244897959184,0.7777777777777778,0.6521739130434783,0.9230769230769231,1,1,-1.2814158066757546,-0.27090301003344486
110,0.058823529411764705,0,0.5,0.3793103448275862,1,1,0.08096858119105077,0.12068965517241381
111,0.038461538461538464,0,0.25925925925925924,0.5185185185185185,1,1,0.11265193904841833,-0.25925925925925924
112,0.023255813953488372,0,0,0,1,0.9534883720930233,-0.9328988702447113,0
114,0,0,0.9230769230769231,0.7352941176470589,0.9473684210526315,1,-0.39428178666946273,0.18778280542986425
115,0,0,0.8125,0.6521739130434783,0.9473684210526315,0.8292682926829268,-0.5843819338136681,0.16032608695652173
116,0.1794871794871795,0.2222222222222222,0.43243243243243246,0.26666666666666666,1,0.925,-0.742798723100506,0.1657657657657658
117,0.46153846153846156,0.08333333333333333,0.8461538461538461,0.7586206896551724,1,1,0.20770201262052104,0.08753315649867377
118,0.4166666666666667,0.2,1,1,0.9444444444444444,1,0.9047358854826075,0
119,0.027777777777777776,0.05263157894736842,0.90625,1,1,1,-0.3309150709547276,-0.09375
121,0.09302325581395349,0,0.9655172413793104,0.8,0.9285714285714286,0.9487179487179487,-0.6477486495284033,0.16551724137931034
122,0.12195121951219512,0.06666666666666667,0.918918918918919,1,1,0.9714285714285714,-1.8517162481083709,-0.08108108108108103
123,0.14,0.3125,0.4074074074074074,0.44,1,0.975,0.17601865476315345,-0.03259259259259262
124,0.061224489795918366,0,0.6666666666666666,0.5925925925925926,1,1,1.601769758344694,0.07407407407407407
125,0.11627906976744186,0.125,0.6129032258064516,0.34615384615384615,1,1,1.0314693169120777,0.2667493796526055
126,0.02127659574468085,0,0.625,0.3142857142857143,1,1,-0.5526985759563006,0.3107142857142857
128,0.04,0,0.34615384615384615,0.5,1,1,0.8096858119105048,-0.15384615384615385
130,0.04,0,0.2647058823529412,0.20588235294117646,0.9444444444444444,1,-0.521015218098933,0.05882352941176472
131,0.16216216216216217,0.06666666666666667,0.8823529411764706,0.75,0.9375,1,0.7146357383384021,0.13235294117647056
132,0.05,0,0.6857142857142857,0.7142857142857143,1,1,-0.3309150709547276,-0.02857142857142858
133,0.3,0.25,0.75,0.8064516129032258,1,1,-0.10913156595315462,-0.056451612903225756
135,0.11320754716981132,0.17647058823529413,0.9629629629629629,0.96,1,1,-1.6299327431067978,0.002962962962962945
