m,se,region,glm,contrast,timepoint,region_label
-0.00852819766750167,0.0116946239741754,DRN,GLM_04.3a,contr_1,-2,DRN-dACC
-0.00595028226107132,0.0117784188290986,DRN,GLM_04.3a,contr_1,-1.9107142857142858,DRN-dACC
-0.00304904466628933,0.0119034832811181,DRN,GLM_04.3a,contr_1,-1.8214285714285714,DRN-dACC
7.55755438288956e-5,0.0120557930086364,DRN,GLM_04.3a,contr_1,-1.7321428571428572,DRN-dACC
0.00330485530301951,0.0122209371840411,DRN,GLM_04.3a,contr_1,-1.6428571428571428,DRN-dACC
0.00650889817663639,0.0123880997167471,DRN,GLM_04.3a,contr_1,-1.5535714285714286,DRN-dACC
0.00957771211090199,0.0125523365270908,DRN,GLM_04.3a,contr_1,-1.4642857142857144,DRN-dACC
0.0124190358940699,0.0127132119148997,DRN,GLM_04.3a,contr_1,-1.375,DRN-dACC
0.0149434737264044,0.0128754887697389,DRN,GLM_04.3a,contr_1,-1.2857142857142858,DRN-dACC
0.0170658543084166,0.0130490802677022,DRN,GLM_04.3a,contr_1,-1.1964285714285714,DRN-dACC
0.0187083610850072,0.0132461058211184,DRN,GLM_04.3a,contr_1,-1.1071428571428572,DRN-dACC
0.019803862916033,0.0134778415833899,DRN,GLM_04.3a,contr_1,-1.0178571428571428,DRN-dACC
0.0203045093915381,0.0137507784023573,DRN,GLM_04.3a,contr_1,-0.9285714285714286,DRN-dACC
0.0201840368216483,0.0140639434628595,DRN,GLM_04.3a,contr_1,-0.8392857142857142,DRN-dACC
0.0194466386340897,0.0144101145908686,DRN,GLM_04.3a,contr_1,-0.75,DRN-dACC
0.0181253803950985,0.0147758092819588,DRN,GLM_04.3a,contr_1,-0.6607142857142858,DRN-dACC
0.0162680947551073,0.0151439670353376,DRN,GLM_04.3a,contr_1,-0.5714285714285716,DRN-dACC
0.0139426930434287,0.0154962092660855,DRN,GLM_04.3a,contr_1,-0.4821428571428572,DRN-dACC
0.0112329396430447,0.0158147988857066,DRN,GLM_04.3a,contr_1,-0.3928571428571428,DRN-dACC
0.00823889326455732,0.0160868899771575,DRN,GLM_04.3a,contr_1,-0.3035714285714284,DRN-dACC
0.00507637578750609,0.0163049970859204,DRN,GLM_04.3a,contr_1,-0.2142857142857142,DRN-dACC
0.00186779817271137,0.016466648001269,DRN,GLM_04.3a,contr_1,-0.125,DRN-dACC
-0.00127399461794909,0.0165731908308889,DRN,GLM_04.3a,contr_1,-0.03571428571428581,DRN-dACC
-0.00424669368464481,0.0166291598127787,DRN,GLM_04.3a,contr_1,0.05357142857142838,DRN-dACC
-0.00694710465699167,0.0166407501640988,DRN,GLM_04.3a,contr_1,0.1428571428571428,DRN-dACC
-0.0092671614117901,0.0166126279657923,DRN,GLM_04.3a,contr_1,0.2321428571428572,DRN-dACC
-0.0111054451494873,0.0165460336233183,DRN,GLM_04.3a,contr_1,0.3214285714285716,DRN-dACC
-0.0123868455150894,0.0164401548783526,DRN,GLM_04.3a,contr_1,0.4107142857142856,DRN-dACC
-0.0130640371435373,0.0162927625678405,DRN,GLM_04.3a,contr_1,0.5,DRN-dACC
-0.0131185853441963,0.0161009725180905,DRN,GLM_04.3a,contr_1,0.5892857142857144,DRN-dACC
-0.0125535927782701,0.0158643245345378,DRN,GLM_04.3a,contr_1,0.6785714285714284,DRN-dACC
-0.0113972480426566,0.0155850459529179,DRN,GLM_04.3a,contr_1,0.7678571428571432,DRN-dACC
-0.00970582413451858,0.0152664333786061,DRN,GLM_04.3a,contr_1,0.8571428571428568,DRN-dACC
-0.00754982307021491,0.0149158204822956,DRN,GLM_04.3a,contr_1,0.9464285714285716,DRN-dACC
-0.00501252334178074,0.0145446233145483,DRN,GLM_04.3a,contr_1,1.0357142857142856,DRN-dACC
-0.00217719880769982,0.014168699583125,DRN,GLM_04.3a,contr_1,1.125,DRN-dACC
8.69325101018222e-4,0.013808257428771,DRN,GLM_04.3a,contr_1,1.2142857142857144,DRN-dACC
0.00404621928023615,0.0134857642285009,DRN,GLM_04.3a,contr_1,1.3035714285714284,DRN-dACC
0.00727599553970621,0.0132230194715074,DRN,GLM_04.3a,contr_1,1.3928571428571432,DRN-dACC
0.0104816306870588,0.0130385728981674,DRN,GLM_04.3a,contr_1,1.4821428571428568,DRN-dACC
0.0135956737208083,0.0129453273142256,DRN,GLM_04.3a,contr_1,1.5714285714285716,DRN-dACC
0.0165592095279293,0.0129499106117618,DRN,GLM_04.3a,contr_1,1.6607142857142856,DRN-dACC
0.0193183202225419,0.0130522755882765,DRN,GLM_04.3a,contr_1,1.75,DRN-dACC
0.0218174479787418,0.0132458442684699,DRN,GLM_04.3a,contr_1,1.8392857142857144,DRN-dACC
0.0239952616552926,0.0135168901735152,DRN,GLM_04.3a,contr_1,1.9285714285714284,DRN-dACC
0.0257751717164521,0.013846841027028,DRN,GLM_04.3a,contr_1,2.0178571428571432,DRN-dACC
0.0270767459672869,0.0142138821241495,DRN,GLM_04.3a,contr_1,2.1071428571428568,DRN-dACC
0.0278328354763097,0.0145955465305196,DRN,GLM_04.3a,contr_1,2.196428571428571,DRN-dACC
