subject,prev_policy,mu_val_graph,switch_type,switch_rate
105,1,-0.3343136202810458,(i) Pursue switch,0
105,1,-0.3343136202810458,(ii) Reject switch,0
105,1,0.2250369664935065,(i) Pursue switch,0
105,1,0.2250369664935065,(ii) Reject switch,20
105,1,0.3748124935443038,(i) Pursue switch,0
105,1,0.3748124935443038,(ii) Reject switch,100
105,1,1.1892047631217948,(i) Pursue switch,0
105,1,1.1892047631217948,(ii) Reject switch,20
105,1,1.8606858870849674,(i) Pursue switch,0
105,1,1.8606858870849674,(ii) Reject switch,100
105,NA,-1.162296753525641,(i) Pursue switch,NA
105,NA,-1.162296753525641,(ii) Reject switch,0
105,NA,0.2250369664935065,(i) Pursue switch,NA
105,NA,0.2250369664935065,(ii) Reject switch,0
105,NA,0.7318152403618421,(i) Pursue switch,0
105,NA,0.7318152403618421,(ii) Reject switch,NA
105,NA,1.8606858870849674,(i) Pursue switch,0
105,NA,1.8606858870849674,(ii) Reject switch,NA
106,0,-1.4610855521032258,(i) Pursue switch,100
106,0,-1.4610855521032258,(ii) Reject switch,0
106,0,-1.162296753525641,(i) Pursue switch,100
106,0,-1.162296753525641,(ii) Reject switch,0
106,0,-0.6199381408193548,(i) Pursue switch,0
106,0,-0.6199381408193548,(ii) Reject switch,0
106,0,-0.4974651735483871,(i) Pursue switch,100
106,0,-0.4974651735483871,(ii) Reject switch,0
106,0,0.2250369664935065,(i) Pursue switch,100
106,0,0.2250369664935065,(ii) Reject switch,0
106,0,0.7318152403618421,(i) Pursue switch,100
106,0,0.7318152403618421,(ii) Reject switch,0
106,0,1.1892047631217948,(i) Pursue switch,100
106,0,1.1892047631217948,(ii) Reject switch,0
106,0,1.8606858870849674,(i) Pursue switch,60
106,0,1.8606858870849674,(ii) Reject switch,0
106,1,-1.4610855521032258,(i) Pursue switch,0
106,1,-1.4610855521032258,(ii) Reject switch,0
106,1,-1.162296753525641,(i) Pursue switch,0
106,1,-1.162296753525641,(ii) Reject switch,33.333333333333336
106,1,-0.6199381408193548,(i) Pursue switch,0
106,1,-0.6199381408193548,(ii) Reject switch,0
106,1,-0.4974651735483871,(i) Pursue switch,0
106,1,-0.4974651735483871,(ii) Reject switch,0
106,1,-0.3343136202810458,(i) Pursue switch,0
106,1,-0.3343136202810458,(ii) Reject switch,33.333333333333336
106,1,0.2250369664935065,(i) Pursue switch,0
106,1,0.2250369664935065,(ii) Reject switch,50
106,1,0.3748124935443038,(i) Pursue switch,0
106,1,0.3748124935443038,(ii) Reject switch,0
106,1,0.7318152403618421,(i) Pursue switch,0
106,1,0.7318152403618421,(ii) Reject switch,100
106,1,1.1892047631217948,(i) Pursue switch,0
106,1,1.1892047631217948,(ii) Reject switch,75
106,1,1.8606858870849674,(i) Pursue switch,0
106,1,1.8606858870849674,(ii) Reject switch,100
106,NA,-1.162296753525641,(i) Pursue switch,NA
106,NA,-1.162296753525641,(ii) Reject switch,0
106,NA,0.3748124935443038,(i) Pursue switch,NA
106,NA,0.3748124935443038,(ii) Reject switch,0
106,NA,1.8606858870849674,(i) Pursue switch,0
106,NA,1.8606858870849674,(ii) Reject switch,NA
107,0,-1.4610855521032258,(i) Pursue switch,40
107,0,-1.4610855521032258,(ii) Reject switch,0
107,0,-1.162296753525641,(i) Pursue switch,33.333333333333336
107,0,-1.162296753525641,(ii) Reject switch,0
107,0,-0.4974651735483871,(i) Pursue switch,25
