test,estimate,statistic,df,p_value,CI_low,CI_high,p_holm
dACC_vs_0,-0.023302611005709156,-1.002454457421992,26,0.32536311924932204,-0.0710845352266466,0.024479313215228272,0.32536311924932204
AI_vs_0,0.050160581475361093,1.7154872356356299,26,0.0981515638406769,-0.009942781429490583,0.11026394438021277,0.1963031276813538
