effect,num Df,den Df,MSE,F,ges,Pr(>F)
region,1,26,0.0033828903992241554,5.055437915481603,0.030131805613582953,0.033248115751781694
contrast,1,26,0.008071136372437391,0.3513799579420019,0.005125611125181969,0.5584540833302276
region:contrast,1,26,0.0035089562427266094,16.522704955731708,0.09528739859729901,3.9473201812420495e-4
