test,estimate,statistic,df,p_value,CI_low,CI_high,p_holm
DRN_vs_AI,0.06728259411369304,4.021287509926202,26,4.4225125449778705e-4,0.032890287528408925,0.10167490069897718,8.845025089955741e-4
DRN_vs_dACC,0.04550355502651981,3.21844553060481,26,0.003441596399331268,0.016441731226649426,0.07456537882639018,0.003441596399331268
