test,estimate,statistic,df,p_value,CI_low,CI_high,p_holm
window1_DRN_vs_0,0.026300547103823135,1.3129669758988507,26,0.2006651339885267,-0.014874554644118186,0.06747564885176445,0.7410830434245691
window2_DRN_vs_0,-0.03539751514083068,-1.360755780759316,26,0.18527076085614227,-0.08886826680369195,0.01807323652203058,0.7410830434245691
window3_DRN_vs_0,-0.028433486919583428,-1.6073036628366701,26,0.12006564009698258,-0.06479616732517764,0.007929193486010781,0.7203938405818955
window4_DRN_vs_0,-0.024938849859845368,-1.584408923165871,26,0.12518998977575807,-0.057293211983972456,0.007415512264281715,0.7203938405818955
window5_DRN_vs_0,-0.04342669517746697,-3.141370142783851,26,0.004164578555054617,-0.07184259215965073,-0.015010798195283203,0.04164578555054617
window6_DRN_vs_0,-0.051785736050723175,-3.120177857324339,26,0.004387637136292317,-0.0859014531096645,-0.01767001899178184,0.04164578555054617
window7_DRN_vs_0,-0.018321507854747687,-0.8574146351481814,26,0.3990504756172826,-0.06224471281526471,0.025601697105769334,0.7410830434245691
window8_DRN_vs_0,0.021199079387669836,1.279655262447509,26,0.21196792227862288,-0.012853319748437429,0.055251478523777105,0.7410830434245691
window9_DRN_vs_0,0.04178402130720246,2.2864815243368,26,0.030615994768993706,0.004220505071597702,0.07934753754280723,0.24492795815194965
window10_DRN_vs_0,0.04810982198960499,2.1352838532123535,26,0.04232671970086346,0.0017969370592347644,0.09442270691997524,0.29628703790604427
