test,estimate,statistic,df,p_value,CI_low,CI_high,p_holm
DRN_vs_MRN,0.041345182747956274,2.0789557973738253,26,0.0476270228702706,4.658911382694767e-4,0.08222447435764306,0.0572374396880975
DRN_vs_fourth_ventricle,0.04768755297340204,2.31739298284436,26,0.02861871984404875,0.005388655151869823,0.08998645079493427,0.0572374396880975
