test,estimate,statistic,df,p_value,CI_low,CI_high,p_holm
dACC_vs_0,-0.05700992245536166,-2.28317901776607,26,0.030836704359149876,-0.1083355403722612,-0.00568430453846214,0.06167340871829975
AI_vs_0,-0.03650431514966941,-2.1117224110172463,26,0.04447607294039599,-0.07203724979873473,-9.713805006040882e-4,0.06167340871829975
