DRN_custom,GLM,contrast,timelock
0.115845361144901,GLM_0S5.2_win1,contr1,offer-timelocked
-0.237048465989672,GLM_0S5.2_win1,contr1,offer-timelocked
-0.0113857556833987,GLM_0S5.2_win1,contr1,offer-timelocked
0.064017521497133,GLM_0S5.2_win1,contr1,offer-timelocked
0.345807157526505,GLM_0S5.2_win1,contr1,offer-timelocked
0.0307106331261249,GLM_0S5.2_win1,contr1,offer-timelocked
-0.048249762443027,GLM_0S5.2_win1,contr1,offer-timelocked
0.0294811949607145,GLM_0S5.2_win1,contr1,offer-timelocked
0,GLM_0S5.2_win1,contr1,offer-timelocked
0.053588644205556,GLM_0S5.2_win1,contr1,offer-timelocked
0,GLM_0S5.2_win1,contr1,offer-timelocked
-0.00408228638067825,GLM_0S5.2_win1,contr1,offer-timelocked
0.0780488316258018,GLM_0S5.2_win1,contr1,offer-timelocked
0,GLM_0S5.2_win1,contr1,offer-timelocked
0,GLM_0S5.2_win1,contr1,offer-timelocked
0.171380869215756,GLM_0S5.2_win1,contr1,offer-timelocked
0,GLM_0S5.2_win1,contr1,offer-timelocked
0,GLM_0S5.2_win1,contr1,offer-timelocked
0.0284649635449197,GLM_0S5.2_win1,contr1,offer-timelocked
-0.0360229062749221,GLM_0S5.2_win1,contr1,offer-timelocked
-0.0418423693919993,GLM_0S5.2_win1,contr1,offer-timelocked
-0.00651384759275228,GLM_0S5.2_win1,contr1,offer-timelocked
0.187321746747244,GLM_0S5.2_win1,contr1,offer-timelocked
0.113670042892533,GLM_0S5.2_win1,contr1,offer-timelocked
-0.0797670016619453,GLM_0S5.2_win1,contr1,offer-timelocked
0.0294917966767481,GLM_0S5.2_win1,contr1,offer-timelocked
-0.0728015959423175,GLM_0S5.2_win1,contr1,offer-timelocked
