tc_data1,tc_data2,tc_data3,tc_data4,tc_data5
-0.0103758533765574,0.0193868032134576,DRN_custom,GLM_04.2a_low,contr_1
-0.00928902698871436,0.0200794366237709,DRN_custom,GLM_04.2a_low,contr_1
-0.00809701324795169,0.0207212495142265,DRN_custom,GLM_04.2a_low,contr_1
-0.00681085549990626,0.0212996924850288,DRN_custom,GLM_04.2a_low,contr_1
-0.0054347224545312,0.0218041215488165,DRN_custom,GLM_04.2a_low,contr_1
-0.00396842906453404,0.0222256331880625,DRN_custom,GLM_04.2a_low,contr_1
-0.00242063541865275,0.0225588333108082,DRN_custom,GLM_04.2a_low,contr_1
-0.000805422828766555,0.0228030869537556,DRN_custom,GLM_04.2a_low,contr_1
0.000857231763624891,0.0229655926754637,DRN_custom,GLM_04.2a_low,contr_1
0.00255080979465327,0.0230538237106304,DRN_custom,GLM_04.2a_low,contr_1
0.00426500622895009,0.0230710285992101,DRN_custom,GLM_04.2a_low,contr_1
0.0059800359008151,0.0230184611562079,DRN_custom,GLM_04.2a_low,contr_1
0.00767099845932618,0.0229003265454335,DRN_custom,GLM_04.2a_low,contr_1
0.00931325351646977,0.0227244620519775,DRN_custom,GLM_04.2a_low,contr_1
0.0108874982812971,0.0224999036567604,DRN_custom,GLM_04.2a_low,contr_1
0.0123777993105881,0.0222363519028052,DRN_custom,GLM_04.2a_low,contr_1
0.0137709772410259,0.0219428260936148,DRN_custom,GLM_04.2a_low,contr_1
0.0150540678873453,0.0216289499719826,DRN_custom,GLM_04.2a_low,contr_1
0.0162165412674986,0.0213051093909486,DRN_custom,GLM_04.2a_low,contr_1
0.0172529134038002,0.0209823015210628,DRN_custom,GLM_04.2a_low,contr_1
0.0181752007927683,0.0206749827355497,DRN_custom,GLM_04.2a_low,contr_1
0.0189866522979447,0.0203989837829893,DRN_custom,GLM_04.2a_low,contr_1
0.019687732973399,0.0201694612159418,DRN_custom,GLM_04.2a_low,contr_1
0.0202784248395361,0.0199978595883055,DRN_custom,GLM_04.2a_low,contr_1
0.0207509117110236,0.0198934467678114,DRN_custom,GLM_04.2a_low,contr_1
0.0210900867084205,0.0198638327741579,DRN_custom,GLM_04.2a_low,contr_1
0.0212863303765038,0.0199132584597899,DRN_custom,GLM_04.2a_low,contr_1
0.0213359339482662,0.020042188281233,DRN_custom,GLM_04.2a_low,contr_1
0.0212463649302392,0.0202482606692606,DRN_custom,GLM_04.2a_low,contr_1
0.021023671627901,0.0205268175520521,DRN_custom,GLM_04.2a_low,contr_1
0.0206701737003563,0.0208723777188823,DRN_custom,GLM_04.2a_low,contr_1
0.020199189390354,0.0212779109207095,DRN_custom,GLM_04.2a_low,contr_1
0.0196265753077721,0.0217324111803656,DRN_custom,GLM_04.2a_low,contr_1
0.0189710355549932,0.0222226193219694,DRN_custom,GLM_04.2a_low,contr_1
0.0182506827450287,0.0227358228781347,DRN_custom,GLM_04.2a_low,contr_1
0.0174803716737219,0.0232591324460057,DRN_custom,GLM_04.2a_low,contr_1
0.0166828345069131,0.0237791823073029,DRN_custom,GLM_04.2a_low,contr_1
0.0158844335351651,0.0242803314526459,DRN_custom,GLM_04.2a_low,contr_1
0.015109501768991,0.0247457829632178,DRN_custom,GLM_04.2a_low,contr_1
0.0143775827907148,0.0251584060382061,DRN_custom,GLM_04.2a_low,contr_1
0.0136949419235585,0.0255062237160073,DRN_custom,GLM_04.2a_low,contr_1
0.0130770755798975,0.0257858960680002,DRN_custom,GLM_04.2a_low,contr_1
0.0125404250731939,0.0259952248712381,DRN_custom,GLM_04.2a_low,contr_1
0.0121002127173573,0.02613166318346,DRN_custom,GLM_04.2a_low,contr_1
0.0117779373027211,0.0261938134857341,DRN_custom,GLM_04.2a_low,contr_1
0.0115976139934157,0.026181632093809,DRN_custom,GLM_04.2a_low,contr_1
0.0115771979606073,0.0260980548506897,DRN_custom,GLM_04.2a_low,contr_1
0.0117256543657441,0.0259476717055131,DRN_custom,GLM_04.2a_low,contr_1
0.0120338873774106,0.0257385652290381,DRN_custom,GLM_04.2a_low,contr_1
0.0124959335305819,0.0254778530732655,DRN_custom,GLM_04.2a_low,contr_1
0.0131059865581379,0.0251717405132399,DRN_custom,GLM_04.2a_low,contr_1
0.0138511827805276,0.0248282487311855,DRN_custom,GLM_04.2a_low,contr_1
0.0147197955501083,0.0244581362110983,DRN_custom,GLM_04.2a_low,contr_1
0.0156986571008385,0.0240738837847393,DRN_custom,GLM_04.2a_low,contr_1
0.0167760155990906,0.0236890657596039,DRN_custom,GLM_04.2a_low,contr_1
0.0179478347646645,0.0233194932690029,DRN_custom,GLM_04.2a_low,contr_1
0.0191976665403334,0.0229829999819159,DRN_custom,GLM_04.2a_low,contr_1
0.020501074376003,0.0226960914687521,DRN_custom,GLM_04.2a_low,contr_1
0.021834996761789,0.0224716014996027,DRN_custom,GLM_04.2a_low,contr_1
0.0231797115248226,0.0223183473568761,DRN_custom,GLM_04.2a_low,contr_1
0.0245186767074716,0.0222412508273659,DRN_custom,GLM_04.2a_low,contr_1
0.0258310662724657,0.0222404783012145,DRN_custom,GLM_04.2a_low,contr_1
0.0270968994920076,0.0223107571313097,DRN_custom,GLM_04.2a_low,contr_1
0.0282975697698755,0.0224416166486912,DRN_custom,GLM_04.2a_low,contr_1
0.0294143629864483,0.0226182075272457,DRN_custom,GLM_04.2a_low,contr_1
0.0304330631787861,0.0228234162963962,DRN_custom,GLM_04.2a_low,contr_1
0.0313445705751316,0.023038419145426,DRN_custom,GLM_04.2a_low,contr_1
0.0321499136171835,0.023246425832724,DRN_custom,GLM_04.2a_low,contr_1
0.0328681779901413,0.0234348291198602,DRN_custom,GLM_04.2a_low,contr_1
0.0335114792700613,0.0235918669788156,DRN_custom,GLM_04.2a_low,contr_1
0.0340933360376988,0.0237084849797671,DRN_custom,GLM_04.2a_low,contr_1
0.0346287051302509,0.0237772928550865,DRN_custom,GLM_04.2a_low,contr_1
0.0351297705731844,0.023794814665832,DRN_custom,GLM_04.2a_low,contr_1
0.03560679059547,0.0237609236982833,DRN_custom,GLM_04.2a_low,contr_1
0.036061292451884,0.0236801983985995,DRN_custom,GLM_04.2a_low,contr_1
0.036477221344683,0.0235681561895952,DRN_custom,GLM_04.2a_low,contr_1
0.0368439808019607,0.0234462304171669,DRN_custom,GLM_04.2a_low,contr_1
0.0371603222783651,0.0233377860909686,DRN_custom,GLM_04.2a_low,contr_1
0.0374270807529866,0.0232653721413022,DRN_custom,GLM_04.2a_low,contr_1
0.0376448307231421,0.0232490586961638,DRN_custom,GLM_04.2a_low,contr_1
0.037822040032831,0.0233064015440183,DRN_custom,GLM_04.2a_low,contr_1
0.0379661292264161,0.0234495564639069,DRN_custom,GLM_04.2a_low,contr_1
0.038079362635176,0.0236823785573334,DRN_custom,GLM_04.2a_low,contr_1
0.0381637019872111,0.0240006989367728,DRN_custom,GLM_04.2a_low,contr_1
0.038215122956873,0.0243951848102988,DRN_custom,GLM_04.2a_low,contr_1
0.0382235949223678,0.0248492041216307,DRN_custom,GLM_04.2a_low,contr_1
0.0381779329738504,0.0253395133597992,DRN_custom,GLM_04.2a_low,contr_1
0.0380605237110351,0.0258396884345432,DRN_custom,GLM_04.2a_low,contr_1
0.0378453038252853,0.0263243403978618,DRN_custom,GLM_04.2a_low,contr_1
0.0375161891731104,0.0267713522139802,DRN_custom,GLM_04.2a_low,contr_1
0.0370565220222645,0.027161396936112,DRN_custom,GLM_04.2a_low,contr_1
0.0364487695241081,0.0274785013889234,DRN_custom,GLM_04.2a_low,contr_1
0.0356760970037966,0.0277116788782484,DRN_custom,GLM_04.2a_low,contr_1
0.0347250729841218,0.0278538806679015,DRN_custom,GLM_04.2a_low,contr_1
0.0335979934262783,0.0279040682455273,DRN_custom,GLM_04.2a_low,contr_1
0.0323222861871184,0.0278641101389452,DRN_custom,GLM_04.2a_low,contr_1
0.0309315785784453,0.0277389341264717,DRN_custom,GLM_04.2a_low,contr_1
0.029453904837141,0.0275356508508908,DRN_custom,GLM_04.2a_low,contr_1
0.0279105134807159,0.0272617847560826,DRN_custom,GLM_04.2a_low,contr_1
0.02631965597544,0.0269246367272507,DRN_custom,GLM_04.2a_low,contr_1
0.0246856481542215,0.0265327779162748,DRN_custom,GLM_04.2a_low,contr_1
0.0230155133985808,0.0260963252461998,DRN_custom,GLM_04.2a_low,contr_1
0.0213271748849313,0.0256339583762659,DRN_custom,GLM_04.2a_low,contr_1
0.0196392744910695,0.0251658101524652,DRN_custom,GLM_04.2a_low,contr_1
0.0179773278498256,0.0247100127305278,DRN_custom,GLM_04.2a_low,contr_1
0.0163684800167953,0.0242820303900019,DRN_custom,GLM_04.2a_low,contr_1
0.0148385249511042,0.0238934198565394,DRN_custom,GLM_04.2a_low,contr_1
0.0134157545468116,0.0235493343371298,DRN_custom,GLM_04.2a_low,contr_1
0.0121251935248102,0.0232483854875532,DRN_custom,GLM_04.2a_low,contr_1
0.0109807409817558,0.0229817688739384,DRN_custom,GLM_04.2a_low,contr_1
0.00999471881476911,0.0227370188376279,DRN_custom,GLM_04.2a_low,contr_1
0.00918306720119171,0.0225021580091849,DRN_custom,GLM_04.2a_low,contr_1
0.00856426339908317,0.0222658819084604,DRN_custom,GLM_04.2a_low,contr_1
