DRN_custom,dACCsphere7,AIsphere7,GLM,contrast,timelock
0.139587016994736,0.009797245624158,0.0144395263611462,GLM_04.5,contr1,offer-timelocked
0.0137870397676887,-0.0570106720089513,-0.152988559221897,GLM_04.5,contr1,offer-timelocked
0.0170539198494287,0.0931741887424659,0.0516506111819784,GLM_04.5,contr1,offer-timelocked
0.0616292492901003,0.0101263914060438,0.0362935687804199,GLM_04.5,contr1,offer-timelocked
-0.0781236197189521,-0.0714157993080356,0.0338536930634028,GLM_04.5,contr1,offer-timelocked
0.160278336662574,0.0381252244981663,0.0709141061708521,GLM_04.5,contr1,offer-timelocked
0.0908949809546643,0.139301671463563,0.0724044028046024,GLM_04.5,contr1,offer-timelocked
0.00963213160818228,-0.0342517706233124,-0.00387393640154259,GLM_04.5,contr1,offer-timelocked
0,0,0,GLM_04.5,contr1,offer-timelocked
-0.0253096600953651,-0.0212702168224555,-0.0560947821458625,GLM_04.5,contr1,offer-timelocked
0.289245641415574,0.078490767978371,-0.0191265794004445,GLM_04.5,contr1,offer-timelocked
0.0635657809641103,0.0171425401349878,0.0134547419604608,GLM_04.5,contr1,offer-timelocked
0.0131540214165794,0.0542118681309969,-0.0772899570566016,GLM_04.5,contr1,offer-timelocked
0,0,0,GLM_04.5,contr1,offer-timelocked
0.115922721148852,0.105021512891265,-0.00582387402105178,GLM_04.5,contr1,offer-timelocked
0.109201002078316,0.108634511082142,0.0952839103675041,GLM_04.5,contr1,offer-timelocked
0.191454416551453,0.0240989675947717,0.0633746112939373,GLM_04.5,contr1,offer-timelocked
-0.00279537134301133,0.0223655919999458,-0.0222891270434462,GLM_04.5,contr1,offer-timelocked
0.110543424680509,0.0196579216462578,-0.0578427715020769,GLM_04.5,contr1,offer-timelocked
0.0772615345435938,-0.100389337278204,-0.0188473378697527,GLM_04.5,contr1,offer-timelocked
-0.0364797115330465,0.00736968339833136,-0.0324268759998868,GLM_04.5,contr1,offer-timelocked
0.0728082558575108,0.0518514914705206,0.0251593489607101,GLM_04.5,contr1,offer-timelocked
0.0240289544650487,-0.00312357840102187,-0.0626425918661249,GLM_04.5,contr1,offer-timelocked
0.203995335917842,0.173353889679896,0.0111681339846427,GLM_04.5,contr1,offer-timelocked
-0.00136806802006878,-0.0742200650681331,0.0232188512112927,GLM_04.5,contr1,offer-timelocked
0.0237766528239531,-0.0927333461933945,-0.00864545832161255,GLM_04.5,contr1,offer-timelocked
0.254429024221091,0.171268342746954,0.0882193141410019,GLM_04.5,contr1,offer-timelocked
