DRN_custom,LC_Pauli,GLM,contrast,timelock
0.12994580444682,0.285624352846179,GLM_04.2a_supp,contr1,offer-timelocked
-0.00957037935306364,-0.101874643256806,GLM_04.2a_supp,contr1,offer-timelocked
-0.0359278493323242,-0.146463918331786,GLM_04.2a_supp,contr1,offer-timelocked
0.0712521920648263,-0.232707631825126,GLM_04.2a_supp,contr1,offer-timelocked
-0.0705435956533345,-0.195266145711028,GLM_04.2a_supp,contr1,offer-timelocked
0.290867173501329,-0.0618481509907305,GLM_04.2a_supp,contr1,offer-timelocked
0.0557146474423247,-0.0536379454258254,GLM_04.2a_supp,contr1,offer-timelocked
-0.0150085793160537,-0.307960709680104,GLM_04.2a_supp,contr1,offer-timelocked
0,0,GLM_04.2a_supp,contr1,offer-timelocked
-0.295451709471305,-0.25382076295502,GLM_04.2a_supp,contr1,offer-timelocked
0.466450571586544,0.289470987888411,GLM_04.2a_supp,contr1,offer-timelocked
0.0835404126600722,-0.0591143719069269,GLM_04.2a_supp,contr1,offer-timelocked
0.0508860173241551,-0.0806594573392807,GLM_04.2a_supp,contr1,offer-timelocked
0,0,GLM_04.2a_supp,contr1,offer-timelocked
0.104104721738262,0.0544954342458231,GLM_04.2a_supp,contr1,offer-timelocked
0.283813184128727,7.3138124307778e-05,GLM_04.2a_supp,contr1,offer-timelocked
0.276875053840222,-0.181980378171954,GLM_04.2a_supp,contr1,offer-timelocked
0.0293960845538821,-0.165116010017618,GLM_04.2a_supp,contr1,offer-timelocked
0.0824085849113954,-0.229222135951599,GLM_04.2a_supp,contr1,offer-timelocked
-0.0110923150918667,-0.127977359535889,GLM_04.2a_supp,contr1,offer-timelocked
-0.0926752157455587,-0.499896545558937,GLM_04.2a_supp,contr1,offer-timelocked
0.0371045004870935,0.236511854268051,GLM_04.2a_supp,contr1,offer-timelocked
-0.0877481794645878,-0.0127493330925238,GLM_04.2a_supp,contr1,offer-timelocked
0.217713160233995,0.0219482448247198,GLM_04.2a_supp,contr1,offer-timelocked
0.177297220027057,-0.242593606164659,GLM_04.2a_supp,contr1,offer-timelocked
0.0565028181849779,-0.0866422659680613,GLM_04.2a_supp,contr1,offer-timelocked
0.52363857291599,0.128672097732255,GLM_04.2a_supp,contr1,offer-timelocked
