dACCsphere7,AIsphere7,GLM,contrast,timelock
0.0174866341237956,-0.0410651937820764,GLM_04.4,contr1,offer-timelocked
-6.79462353462244e-05,-0.0321512290045508,GLM_04.4,contr1,offer-timelocked
0.0414648435253906,0.0470951975719781,GLM_04.4,contr1,offer-timelocked
0.0395547862567765,0.0239361380372794,GLM_04.4,contr1,offer-timelocked
-0.100344168412266,-0.0481599096696617,GLM_04.4,contr1,offer-timelocked
0.0149467729665515,0.0584481314547434,GLM_04.4,contr1,offer-timelocked
3.71954601468298e-05,-0.0993834893463947,GLM_04.4,contr1,offer-timelocked
0.0183235827768757,0.00944651639043894,GLM_04.4,contr1,offer-timelocked
-0.0057230990646807,-0.0734674406611831,GLM_04.4,contr1,offer-timelocked
0.00239819010361025,0.054946414646324,GLM_04.4,contr1,offer-timelocked
-0.0404270199353216,0.0140177542202668,GLM_04.4,contr1,offer-timelocked
-0.0364827458955981,-0.0424074718261903,GLM_04.4,contr1,offer-timelocked
0.0213288557956258,-0.015767220460963,GLM_04.4,contr1,offer-timelocked
-0.00858297376509254,0.00505489247968107,GLM_04.4,contr1,offer-timelocked
-0.00626867218463202,0.0118010737915592,GLM_04.4,contr1,offer-timelocked
-0.0763985711078962,-0.046181746185329,GLM_04.4,contr1,offer-timelocked
0.0824370705054073,0.0106840611810251,GLM_04.4,contr1,offer-timelocked
0.0167711977004831,0.0055834135034347,GLM_04.4,contr1,offer-timelocked
-0.0491877380097672,-0.021540702216904,GLM_04.4,contr1,offer-timelocked
-0.0735511907211015,-0.0513915406414545,GLM_04.4,contr1,offer-timelocked
0.0588103569707331,0.0204661176806161,GLM_04.4,contr1,offer-timelocked
-0.0503531387585181,-0.0769612670572468,GLM_04.4,contr1,offer-timelocked
0.0435955706030104,0.0481169666625762,GLM_04.4,contr1,offer-timelocked
0.0934657464596553,0.036279963000836,GLM_04.4,contr1,offer-timelocked
0.103122101292978,-0.00106453436150288,GLM_04.4,contr1,offer-timelocked
0.0117419564851124,0.066520445405714,GLM_04.4,contr1,offer-timelocked
0.0685091775540793,-0.0425047682716956,GLM_04.4,contr1,offer-timelocked
