DRN_custom,dACCsphere7,AIsphere7,GLM,contrast,timelock
0.0644754510758864,-0.0471375425970512,-0.0727459291735467,GLM_04.2d_cortex,contr1,offer-timelocked
-0.0447643295637106,-0.0705674768624551,0.149712277631654,GLM_04.2d_cortex,contr1,offer-timelocked
-0.117867510299273,0.20451175722757,0.0313546632837128,GLM_04.2d_cortex,contr1,offer-timelocked
0.0109182336523885,0.0554403226424206,-0.0351874629754456,GLM_04.2d_cortex,contr1,offer-timelocked
-0.0585714661072544,-0.109029033489927,0.0354793575522591,GLM_04.2d_cortex,contr1,offer-timelocked
-0.249710429907789,0.0249193513071051,0.0776249472658689,GLM_04.2d_cortex,contr1,offer-timelocked
-0.117649256811631,-0.161925356806255,-0.304518783198618,GLM_04.2d_cortex,contr1,offer-timelocked
0.0403541714642527,0.264948918809735,-0.119622435219197,GLM_04.2d_cortex,contr1,offer-timelocked
0,0,0,GLM_04.2d_cortex,contr1,offer-timelocked
0.0456021854073064,0.0289164937367284,-0.0823742708533408,GLM_04.2d_cortex,contr1,offer-timelocked
-0.167687228717639,0.0313386918953742,0.0526106582617661,GLM_04.2d_cortex,contr1,offer-timelocked
-0.161460968897204,0.012220886883135,0.0658592646293583,GLM_04.2d_cortex,contr1,offer-timelocked
-0.291935941351317,-0.0228669063616769,0.173097902167886,GLM_04.2d_cortex,contr1,offer-timelocked
0,0,0,GLM_04.2d_cortex,contr1,offer-timelocked
0.189921555036291,0.0525727267304198,0.0298112331031254,GLM_04.2d_cortex,contr1,offer-timelocked
0.0845019549322542,0.0682987963809081,0.140325467158097,GLM_04.2d_cortex,contr1,offer-timelocked
-0.0314168859644974,-0.0604534170550759,0.00932273978433844,GLM_04.2d_cortex,contr1,offer-timelocked
-0.141954302973749,-0.226704806321802,-0.194323423654915,GLM_04.2d_cortex,contr1,offer-timelocked
0.0654211016945589,-0.0260616242515363,-0.177148741137993,GLM_04.2d_cortex,contr1,offer-timelocked
-0.0396241354271535,0.0715081737807655,0.0269689444664607,GLM_04.2d_cortex,contr1,offer-timelocked
-0.018293661902465,0.0832775115785316,0.171377469523541,GLM_04.2d_cortex,contr1,offer-timelocked
0.289000843089359,0.0488894625021103,0.141327793847979,GLM_04.2d_cortex,contr1,offer-timelocked
-0.0537952286074017,-0.275394070340896,-0.165366981371305,GLM_04.2d_cortex,contr1,offer-timelocked
-0.187621769398718,-0.0446912469492639,-0.142964434117164,GLM_04.2d_cortex,contr1,offer-timelocked
-0.138447584274679,0.0901087758626889,0.0887149554613491,GLM_04.2d_cortex,contr1,offer-timelocked
-0.0356571728909355,0.292431204498456,0.186072747146601,GLM_04.2d_cortex,contr1,offer-timelocked
-0.109123361203151,0.0589464698766766,0.038240636599649,GLM_04.2d_cortex,contr1,offer-timelocked
