DRN_custom,GLM,contrast,timelock
0,GLM_0S5.2_win9,contr1,offer-timelocked
0.094405442105157,GLM_0S5.2_win9,contr1,offer-timelocked
0.0833860328051941,GLM_0S5.2_win9,contr1,offer-timelocked
0.0677695078714128,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
0.00193257462237037,GLM_0S5.2_win9,contr1,offer-timelocked
-0.0856747660091308,GLM_0S5.2_win9,contr1,offer-timelocked
0.298576722674875,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
-0.0680395148622197,GLM_0S5.2_win9,contr1,offer-timelocked
0.0209377141064947,GLM_0S5.2_win9,contr1,offer-timelocked
-0.0211454594347765,GLM_0S5.2_win9,contr1,offer-timelocked
0.124020062032947,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
0.129686008834988,GLM_0S5.2_win9,contr1,offer-timelocked
0.0895706126486988,GLM_0S5.2_win9,contr1,offer-timelocked
0.21869958758028,GLM_0S5.2_win9,contr1,offer-timelocked
-0.0373481143061363,GLM_0S5.2_win9,contr1,offer-timelocked
-0.115983127959792,GLM_0S5.2_win9,contr1,offer-timelocked
0.199902289092614,GLM_0S5.2_win9,contr1,offer-timelocked
0.12747300349149,GLM_0S5.2_win9,contr1,offer-timelocked
0,GLM_0S5.2_win9,contr1,offer-timelocked
