DRN_custom,BF,GLM,contrast,timelock
0.139619734175968,0.098938877452419,GLM_0S7b,contr2,offer-timelocked
0.0115109006689828,0.0529204491332355,GLM_0S7b,contr2,offer-timelocked
0.0171702069106172,0.00876258025257838,GLM_0S7b,contr2,offer-timelocked
0.0617320653512281,-0.153815532536035,GLM_0S7b,contr2,offer-timelocked
-0.0794707318744414,0.0214805403102498,GLM_0S7b,contr2,offer-timelocked
0.162249175081859,0.000800961157422058,GLM_0S7b,contr2,offer-timelocked
0.0909376436355281,-0.0118638356833033,GLM_0S7b,contr2,offer-timelocked
0.00986703606545653,0.0250278368542684,GLM_0S7b,contr2,offer-timelocked
-6.47771601663309e-18,-8.6886154082631e-19,GLM_0S7b,contr2,offer-timelocked
-0.0265877459952526,0.0128124955923914,GLM_0S7b,contr2,offer-timelocked
0.291496258292226,0.113930090139312,GLM_0S7b,contr2,offer-timelocked
0.0663250176251184,-0.0560985328657325,GLM_0S7b,contr2,offer-timelocked
0.0120409695192557,0.0291581248678093,GLM_0S7b,contr2,offer-timelocked
2.15295354563333e-18,-6.54943145436078e-19,GLM_0S7b,contr2,offer-timelocked
0.117586891325274,-0.0847422118184046,GLM_0S7b,contr2,offer-timelocked
0.10782335124346,-0.110300070978323,GLM_0S7b,contr2,offer-timelocked
0.190001369962502,-0.0888383067963596,GLM_0S7b,contr2,offer-timelocked
-0.00274955840272968,-0.015822649263271,GLM_0S7b,contr2,offer-timelocked
0.111116643158497,0.0180914866040299,GLM_0S7b,contr2,offer-timelocked
0.0794509579232859,-0.00927333960933197,GLM_0S7b,contr2,offer-timelocked
-0.0360897406575552,-0.107663505125122,GLM_0S7b,contr2,offer-timelocked
0.0728361069380053,0.00446346671145207,GLM_0S7b,contr2,offer-timelocked
0.0240302234328841,0.103850850438027,GLM_0S7b,contr2,offer-timelocked
0.203777209905977,0.0598376588825716,GLM_0S7b,contr2,offer-timelocked
-0.0029970066477503,0.0515269540196129,GLM_0S7b,contr2,offer-timelocked
0.0239864321585918,-0.0463799642951414,GLM_0S7b,contr2,offer-timelocked
0.254458470104434,0.0526368621771734,GLM_0S7b,contr2,offer-timelocked
