subject,p_accept_10_rich,p_accept_10_poor,p_accept_10_diff,dACC_d1,dACC_d2,dACC_d3,dACC_d4,dACC_H1,dACC_H2,dmPFC_d1,dmPFC_d2,dmPFC_d3,dmPFC_d4,dmPFC_H1,dmPFC_H2,latFP_d1,latFP_d2,latFP_d3,latFP_d4,latFP_H1,latFP_H2,pgACC_d1,pgACC_d2,pgACC_d3,pgACC_d4,pgACC_H1,pgACC_H2,vpgACC_d1,vpgACC_d2,vpgACC_d3,vpgACC_d4,vpgACC_H1,vpgACC_H2,AI_d1,AI_d2,AI_d3,AI_d4,AI_H1,AI_H2
117,0.75862069,0.846153846,0.087533156,0.968360109,0.971532787,0.921187605,0.998344202,-0.047172504,0.026811415,1.010045435,1.056583676,1.017092187,0.987830511,0.007046752,-0.068753165,1.006889658,1.029187818,1.007477722,0.97455271,5.88063e-4,-0.054635108,1.032905522,1.012330845,1.007766083,1.040152405,-0.025139439,0.02782156,1.004244962,0.998097112,1.029859807,1.030242731,0.025614845,0.032145619,0.99172888,0.974630198,0.959600933,1.000580383,-0.032127946,0.025950185
119,1,0.903225806,-0.096774194,0.956362606,1.028967616,1.0614422,1.003843945,0.105079594,-0.025123671,0.951873245,1.066468052,0.902847488,0.943220294,-0.049025757,-0.123247759,0.989545611,1.022135328,1.05208448,0.883960251,0.062538869,-0.138175078,1.031490661,0.969468329,0.933862624,0.96826716,-0.097628037,-0.001201169,0.99863601,1.048339024,0.967038677,0.989642018,-0.031597332,-0.058697006,0.949585553,0.963623507,0.987337432,0.903790444,0.037751879,-0.059833063
121,0.8,0.965517241,0.165517241,1.023551106,0.980290988,0.950068328,0.968188044,-0.073482778,-0.012102944,1.023722011,0.934118521,0.978034985,0.922701901,-0.045687025,-0.011416619,1.009309912,1.00922329,0.999055483,1.006526549,-0.01025443,-0.002696741,1.005071553,0.973817627,1.014154194,0.986099088,0.009082642,0.012281461,1.039667607,1.023088482,1.034425112,0.989376565,-0.005242495,-0.033711917,0.941729943,0.933186612,0.972872015,0.925653501,0.031142072,-0.007533111
122,1,0.918918919,-0.081081081,0.861968107,0.996610541,0.971574746,0.878575983,0.109606639,-0.118034558,0.990852114,0.992157255,0.970012192,0.978026574,-0.020839922,-0.014130682,0.976498896,0.973853486,0.970128219,0.851208836,-0.006370677,-0.12264465,0.958306243,0.99224559,0.956450096,0.992071738,-0.001856147,-1.73852e-4,0.982316427,0.999744896,0.980858933,0.996177817,-0.001457494,-0.003567078,0.971276788,0.973590014,0.930854308,0.895718066,-0.04042248,-0.077871948
123,0.423076923,0.423076923,0,0.913434863,1.086948031,0.987581973,1.002398981,0.07414711,-0.084549049,1.037387387,1.010584589,1.020959706,0.969514605,-0.01642768,-0.041069984,1.000379211,0.932434487,1.019001769,1.000205225,0.018622557,0.067770738,1.016417063,1.030119467,0.994640297,0.992238311,-0.021776766,-0.037881157,0.986745336,1.024122515,0.97249478,0.9786434,-0.014250555,-0.045479114,0.980947683,1.053348399,1.003340286,0.966467903,0.022392603,-0.086880496
124,0.576923077,0.678571429,0.101648352,0.957966822,0.864996084,0.959709301,0.987436378,0.00174248,0.122440295,0.974795437,1.003571978,1.005425846,0.97196977,0.030630409,-0.031602208,0.886604181,0.92391466,0.973363791,0.993022783,0.08675961,0.069108123,0.948886864,0.933048062,0.979558652,0.95912903,0.030671788,0.026080968,0.98467465,0.916866992,1.006529046,0.996401336,0.021854396,0.079534343,0.841939755,0.847239006,0.886643158,0.854410165,0.044703403,0.007171159
125,0.346153846,0.612903226,0.26674938,0.938156861,0.956078547,0.928112852,0.981593138,-0.010044009,0.025514591,0.911445612,0.972228376,0.90323782,0.98906068,-0.008207792,0.016832304,0.831800588,0.890742971,0.837798647,0.989334766,0.005998059,0.098591795,0.944697058,0.953782082,0.92351431,0.933661444,-0.021182748,-0.020120638,1.040753216,1.033822047,0.948327447,0.948724642,-0.092425769,-0.085097404,0.715055733,0.820638324,0.837034248,0.873717624,0.121978515,0.0530793
128,0.48,0.37037037,-0.10962963,0.972300382,0.995903059,0.970092965,0.98737016,-0.002207417,-0.0085329,0.955729955,1.006176737,0.982146432,0.950246011,0.026416477,-0.055930727,0.904124038,0.968366138,0.969287348,1.021226611,0.06516331,0.052860474,0.984991774,1.001348666,0.99139578,0.961607074,0.006404006,-0.039741591,1.006242414,0.969512546,0.943172619,0.965661382,-0.063069795,-0.003851164,0.963469921,0.95799029,0.930865642,0.958383222,-0.032604279,3.92931e-4
130,0.205882353,0.264705882,0.058823529,0.981218144,0.910186205,1.024607209,0.97431946,0.043389064,0.064133255,0.930736311,0.845539736,1.032525242,0.979107186,0.101788931,0.13356745,0.937408575,0.938577762,1.005716393,0.948257104,0.068307818,0.009679342,1.001481289,1.024532525,0.985482644,1.0100272,-0.015998645,-0.014505326,0.985948771,0.956948607,0.989855339,1.026653918,0.003906567,0.06970531,0.972135689,0.920498998,0.977657671,0.968934544,0.005521983,0.048435546
131,0.739130435,0.885714286,0.146583851,0.901229057,0.891737845,0.941349606,0.852015042,0.040120549,-0.039722803,0.971367172,0.896824221,1.011627372,0.981941725,0.0402602,0.085117504,0.991526487,0.927867736,1.000781998,0.928703722,0.009255511,8.35986e-4,0.944759545,0.948984109,0.947927844,0.936711302,0.003168299,-0.012272807,0.952298788,0.955122849,0.965256319,0.960641068,0.012957532,0.005518218,0.857820155,0.823102146,0.889892753,0.836919423,0.032072598,0.013817276
132,0.740740741,0.666666667,-0.074074074,0.886955801,0.856185782,0.878835953,0.88637178,-0.008119848,0.030185998,0.881716342,0.893535349,0.812866837,1.032673019,-0.068849505,0.13913767,1.020405288,0.9114128,0.792426547,1.009766118,-0.227978741,0.098353318,0.822723036,0.902584086,0.851086852,0.99175538,0.028363815,0.089171293,0.944772768,0.968801954,0.898244128,0.999254793,-0.04652864,0.030452838,0.857560583,0.895362053,0.92697212,0.944188672,0.069411538,0.048826619
133,0.806451613,0.75,-0.056451613,1.009070722,1.037840012,0.975949076,0.982375189,-0.033121645,-0.055464823,0.976153588,1.018861723,1.036277989,0.984730611,0.060124401,-0.034131112,0.988808512,1.007672016,1.023515722,0.913552524,0.03470721,-0.094119492,1.007256828,1.021922052,1.003955367,0.996847958,-0.003301461,-0.025074094,1.000955795,1.029531369,1.031869634,0.959203501,0.030913838,-0.070327868,0.983240994,1.029102556,0.98180862,0.982343387,-0.001432374,-0.046759169
135,0.96,0.962962963,0.002962963,1.010853929,0.917849913,0.926579589,0.904194209,-0.08427434,-0.013655704,0.886254503,0.992127702,0.99122433,1.022382644,0.104969827,0.030254942,0.887828475,0.929702396,0.953382076,0.961236808,0.065553601,0.031534411,0.947264696,1.014288463,0.962547654,0.921755264,0.015282958,-0.092533199,0.989255608,0.999196444,0.938025454,0.940635137,-0.051230153,-0.058561307,0.957584606,0.949262832,0.996695771,0.954479062,0.039111164,0.00521623
